,ROSE,ANKR,VET,NEAR,ETH,EOS,BAKE,GRT,REEF,INJ,FIL,MATIC,BCH,IOST,CHR,EGLD,HBAR,ZIL,ALGO,DENT,DASH,ALICE,IOTA,LINK,XTZ,LRC,ONE,SXP,KAVA,AXS,ADA,SOL,ONT,ETC,MANA,SNX,ZEC,CFX,YFI,WAVES,LTC,CHZ,XLM,COTI,DOT,OMG,SUSHI,FTM,BNB,UNI,STX,RUNE,THETA,HOT,1INCH,FET,KSM,SLP,CRV,IOTX,BTC,AVAX,ENJ,CAKE,XRP,TRX,ATOM,AAVE,DOGE,NEO,SAND,QTUM
ROSE,0.0,0.32970556697224246,0.08725646881729944,0.12909600792249554,0.2067870501538866,-0.22613300119583904,0.0,-0.25220484214987504,-0.18978482399858126,-0.0016654692719405007,0.10369299461265233,0.024965627389933964,0.13499000415422122,-0.06970694968876603,0.023440405311529286,0.1474965988234444,0.13520468785934384,-0.013086386950294907,-0.09072818886153346,0.14580091144258198,0.3580514330540756,0.0,0.07288079529202443,-0.11178280563718798,-0.17432875086030858,-0.18206674468581965,0.17984115697537495,0.3693027155191556,-0.13316071796289253,0.32206665347411345,-0.33117944137642774,0.26176388952452934,0.038838357722446634,0.02181987566759963,0.0897812066772562,-0.05604337490404543,0.07228211053270783,0.0,0.3895649098423509,0.31599023669977555,0.2244376396933176,-0.07965078570151213,-0.2172382020017377,0.40441255807095006,-0.24889677680220715,0.10389641268904003,-0.0742949162459534,0.12207030240687994,0.0954656607855306,0.05537201633011677,-0.008792605991748581,-0.17823837396382303,0.019052097912280283,0.14152791493448277,-0.13962061421172509,0.12317939167801714,-0.18365921533424429,0.0,0.025124963781723353,-0.3276702358559118,0.2560427855272349,-0.6056585200980448,0.2551299605291971,0.0,0.2104045334158854,0.21157257882922254,-0.3523057270065197,0.013464714581719266,-0.13050850716860166,0.40296913600625806,-0.34054604505899827,0.1057047765050827
ANKR,-0.32970556697224246,0.0,-0.07616721208912647,-0.03887155208979248,-0.3832867031869611,-0.30246503249973555,0.0,-0.2410058228551653,0.2175569882556931,-0.5925245217899945,0.07417677562601488,-0.03323945503981071,-0.06782969690595927,-0.16459131822131,-0.502507185945278,0.09137712415656613,-0.22116629312646713,-0.14681604532005538,-0.08553692103014238,0.09680584827010338,0.05149162813866556,0.0,-0.07005851390270193,-0.2457820155753609,-0.38044455754599205,-0.45527358236104903,-0.09359860942423442,-0.2457974061476797,-0.3492357564791764,0.5329642624134155,-0.4835018718305704,-0.21359559271381787,-0.08311483771940748,-0.08544822908781141,-0.35310293136884796,-0.43161490698391825,-0.19692982914997254,0.0,-0.08207325790001008,0.0020570107878776778,-0.2227506630319122,-0.6169529992108831,-0.2547551742645993,0.22705638422789978,-0.1765676481915877,-0.05304329197906807,-0.1947099522885961,-0.24994682544175517,-0.13409862430157646,-0.12961593148303532,-0.4217769333771061,-0.4085764733554812,-0.20174501530126693,-0.2257955185484929,-0.30796160141727774,0.06809768158119839,-0.2446102297559284,0.0,0.2893328418539929,-0.7595091542267984,-0.2670338291271494,-0.44616734251376566,-0.6442179412052996,0.0,0.1379905637031989,0.042973830653067646,-0.3339910264984456,-0.34214413197217786,-0.23656190714799005,0.09304333009840582,0.5893378827697275,-0.1599508884220505
VET,-0.08725646881729944,0.07616721208912647,0.0,-0.2158254951228132,0.09135848444936283,0.0005880067768825187,0.0,-0.1318836631153282,0.1022145558095778,-0.21254009785793862,0.0029516443744977416,0.3891904894782543,0.12278162389510314,-0.17673815382397445,0.10947761839688322,0.17179188163743836,-0.2579587498284417,0.05502667377336312,-0.03973161974449607,0.19472621891510244,0.20096741045378985,0.0,0.14881204668556886,-0.01929768982640226,-0.00578153787562577,-0.24152152719835202,0.17393656371603877,-0.019057655342037516,-0.017647573073812955,0.46493829116474084,-0.14455248064651105,-0.1178705505392463,0.060395564851791816,0.1344795809833074,-0.051268857851663865,-0.20113391115584645,-0.02687710257186704,0.0,0.05230562419089019,-0.03202269970227695,-0.010571202898494836,-0.20018024711186125,0.14180674942929977,0.1390197084379109,0.046334780116871366,0.04093208856174771,-0.18193847602502178,0.07153593188053436,-0.05316954901080165,0.0005537197428605034,-0.19028236013339986,-0.1510677389994944,-0.1949000650077233,-0.05955636418797708,-0.17832158587889968,0.1341365866654362,-0.03821341685696866,0.0,0.007182050472055668,-0.35478145236947256,-0.04812496867417429,-0.42175202085601055,-0.21168169040011414,0.0,0.2828239814274174,0.21255497244621605,-0.11600314076691123,-0.06877231614497298,-0.25167120360912115,0.39571177931696044,0.06374262557378507,0.24694350812653343
NEAR,-0.12909600792249554,0.03887155208979248,0.2158254951228132,0.0,0.003519168328845357,0.04670929162300816,0.0,-0.0018352053833552914,-0.03998529489990792,-0.2497506671598046,0.15616331809248968,0.3310959216373854,0.3400781156300521,0.00433308980245567,0.13673235085234947,0.17894298271318168,-0.3660859154666507,0.07154361188281197,0.1995548944219242,0.15957321430642207,0.3150047472235536,0.0,0.24782011394532089,0.09690971175758988,-0.021588828898600018,-0.23454938148068433,0.0700077756679421,0.15015947940254984,-0.0015408915553220166,0.6823800786987005,-0.12292978805101185,-0.1787775284105251,0.32517388374579725,0.15084697533907573,-0.5002439100423601,-0.1813835273074525,-0.06670654084081021,0.0,-0.11953212769229885,0.25861661704048095,0.07622599510194174,-0.13305099062948858,0.016152349726814452,0.2914757752341468,-0.23638855277356924,0.33724983831450234,-0.18420049417012688,0.0017084564209293995,-0.04434579814474642,0.03569216109420709,-0.2508622704137806,-0.16407610377535894,0.09539122021438282,0.15727914895194,-0.02691000717720146,0.31800158362335823,-0.052537212732991403,0.0,0.20929909409164066,-0.31144390211576084,-0.09888176838980597,-0.40892227419349025,-0.2504638399064413,0.0,-0.1308609681968737,0.2933816899317967,-0.04946462356575064,-0.15423686901840433,-0.2003985573862592,0.5059646839994857,0.18980778750358115,0.2717174408445617
ETH,-0.2067870501538866,0.3832867031869611,-0.09135848444936283,-0.003519168328845357,0.0,-0.2561478794443597,0.0,-0.3067138111513614,0.4296750942879728,-0.35929080178034223,0.02043690044506337,0.19604870902664878,-0.056078162475420995,0.027707286002196456,-0.03756214222476498,0.2022460723614763,0.007934833712698056,-0.07523206019851007,0.04346561750135828,0.12344397144981674,0.1888175242499605,0.0,-0.01827185132831874,-0.06615001841124861,-0.12979452572125713,-0.1741245497522545,-0.15359339247495263,-0.09239741296887205,-0.013737099284542045,0.18787978694344973,-0.22247678070747778,0.0036851026122749486,-0.09843640924743834,0.06654936548818524,-0.2652171339894848,-0.058522425163429065,-0.13535072327043574,0.0,-0.16236504807019805,-0.031549455676680715,-0.26945183653485383,-0.27981126636076886,-0.06357678304242173,-0.0023906950907650604,-0.16736386122534785,-0.07254096792330338,-0.11524177358185292,-0.11003095810820028,-0.12919144548459868,-0.011969718934523255,-0.3226115750863765,-0.39273905514758506,-0.13428185330950365,-0.11153997524984416,-0.15547755350693557,0.06856969203566025,-0.3224157104069672,0.0,0.1322919514483739,-0.2993782453147191,-0.17013582553091863,-0.3562937508434947,0.01978553552128183,0.0,0.22372111781780632,-0.0673062063812865,-0.22377169710252165,0.009970898365993172,-0.3082649590957527,0.19154841469035322,-0.2659874270228969,-0.01112074297140151
EOS,0.22613300119583904,0.30246503249973555,-0.0005880067768825187,-0.04670929162300816,0.2561478794443597,0.0,0.0,-0.002063080070044746,0.3800914494432992,-0.22787593444095303,0.5657726171366741,0.2027985709282199,0.5499128648510898,-0.08845966998457233,0.18246303849829726,0.002967711217953223,-0.4834344225820537,0.14856030829094202,-0.023070125721360836,0.38765474530307165,0.8480006571948957,0.0,0.39599970435809706,0.08928063899270428,0.2627675142394051,-0.252468896958952,0.14399902783437207,0.039189360955084046,0.28515205633522966,0.42706208660289935,-0.24802908747390534,-0.06277212901302269,0.4067362211025988,0.6254122839206163,-0.013852305331186497,0.0063673247482720075,0.48030208890258097,0.0,0.20962991601334258,0.3956327821402394,0.16925459479917274,-0.012004581489243174,-0.057414816115982356,0.22254164219564698,0.07622681521237903,0.21095750595313686,-0.10857484059353456,-2.9761534624264674e-05,0.17624385730718597,-0.022278170781393887,-0.07079933548639465,-0.10536082465031404,-0.10738778136044547,0.27456676008038616,-0.06837511657842416,0.10322181910617674,0.029452092667066346,0.0,0.1886636090042548,-0.1843025325016898,-0.009255878411874058,-0.49135803435146497,-0.1812185963032509,0.0,0.39706149832476767,0.42682821786590924,0.1305232821925913,0.12015803392382447,-0.06673338245435093,0.7860453514278858,-0.11109498901954545,0.38640341165639436
BAKE,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRT,0.25220484214987504,0.2410058228551653,0.1318836631153282,0.0018352053833552914,0.3067138111513614,0.002063080070044746,-0.0,0.0,-0.13940549934569546,0.022663221223646772,0.15415699312545347,0.11316278899956562,0.30064235872249795,-0.2548058587066552,0.4386569813777259,-0.02617085312781398,-0.03795001433861747,0.03703371910740241,-0.08385067827911558,0.06578475395219259,0.39738026520918635,0.0,0.06144132377253137,-0.019245851861865615,-0.09392653369938983,-0.2251978752818607,0.1504785339040465,0.19629517386108666,-0.04624357426100324,0.35445233171603385,-0.1449189754822765,-0.19678120808045016,0.14774806106600186,0.16239947000452193,0.02422882041647638,-0.19397082401363247,0.17907577770099498,0.0,0.20168112829155543,0.25321733564623466,0.2661747454637955,0.21421856693987656,0.010259213855104012,0.10261490873535728,0.0902264258746795,0.07513411334423625,-0.2551827343499136,0.18180852429580735,-0.036096568533672165,-0.08390409721523723,0.1667498486472886,-0.18703067998731165,0.16643382883817923,0.27129993364345384,0.038847738811763566,0.08447742589508887,0.10021579002864237,0.0,-0.23151670190614307,-0.34223743079553703,0.22964038653142246,-0.42780274723379696,0.2892699122811767,0.0,-0.006109620718765724,0.18882324026295821,-0.16744261210113331,-0.21536791307454733,0.03962992325660501,0.5203013678790309,-0.2840700796743192,0.3937091758918569
REEF,0.18978482399858126,-0.2175569882556931,-0.1022145558095778,0.03998529489990792,-0.4296750942879728,-0.3800914494432992,-0.0,0.13940549934569546,0.0,-0.6631490627528103,0.31465231597032395,-0.23888270662675393,-0.2946198729848943,-0.43830793457298645,-0.23550437443422328,-0.30720040565764106,-0.30772459284141335,-0.19220346629714763,-0.131769968782065,-0.22828418826048216,-0.04986021894564782,0.0,-0.4608917567472653,-0.2329330853664603,-0.2601564075680869,-0.5510233347087445,-0.4677386164548649,0.03611093030512623,-0.3571879060531125,0.1751176971573633,-0.20845028696850354,-0.3246819619368571,-0.13644777626827545,-0.30083465844804774,-0.2763508891544208,-0.4009638645289074,-0.33667850286374085,0.0,-0.11832297634872602,-0.037525956021068466,-0.38972567246531314,-0.4562239482530322,-0.13102032218352244,-0.12573216765584277,-0.348023754226887,-0.2515950150676357,-0.4466462908122514,-0.08387550783330093,-0.18921575336484467,-0.1604142307232016,-0.2759921593242283,-0.5518117960510858,-0.32225883067966626,-0.1081639536624491,0.10253247397420563,-0.20959295362270292,-0.11432507161959679,0.0,0.12366155900872423,-0.2004919924762741,-0.3904492646314702,-0.18261123910208393,-0.5075155135366552,0.0,-0.21747414093936418,-0.38346743789235177,-0.2931444070982544,-0.3742476446403784,-0.14091563327231743,0.08440293238592739,0.37417518263517263,-0.06495893399683325
INJ,0.0016654692719405007,0.5925245217899945,0.21254009785793862,0.2497506671598046,0.35929080178034223,0.22787593444095303,-0.0,-0.022663221223646772,0.6631490627528103,0.0,0.011584207394688295,0.4145381383054566,0.2425821911439368,0.429986436514196,0.4564278987276402,0.08591678993097895,0.3368723262879919,0.037231490471883066,0.31216069297206356,0.23387887335143487,0.16067119827253207,0.0,0.22155407065358262,0.4000293839584578,0.35409988214472243,0.15758866151260506,0.15308565722019396,0.09018941128035315,0.45780416191997664,0.1743841351121847,0.11617160020393891,0.17545489331349337,0.2834195443340265,0.37402394862273,0.15011794265284717,0.2829089890548038,0.04409669093603413,0.0,-0.11463080127470737,0.07184332792912848,0.1448217458547245,0.19656184528285303,0.043135011665897866,0.021056964798950806,0.2492017939106516,0.3317079197801093,0.2899452563319843,0.25407169719513595,0.06031211794231317,0.1070980554084564,-0.1194159260099088,-0.06119660640299465,0.14148529956863706,0.13320100331510615,-0.024863927013873743,0.2395620390041444,0.022824546608822327,0.0,0.25515025050945317,-0.0026846104054915054,0.00346381024182435,0.10061238815142745,0.534607099754898,0.0,0.08816102605884435,0.16421421212342416,0.3826758549836114,0.29886585443567476,-0.024711494810584766,0.18832454361414208,-0.44744258296608297,0.4564366384693115
