datetime,1INCH,AAVE,ADA,AERO,AKT,ALGO,APE,APT,ARB,AR,ATOM,AVAX,AXL,AXS,BCH,BNB,BRETT,BSV,BTC,CAKE,CFX,CHZ,COMP,CRV,DOGE,DOT,DRIFT,DYDX,EGLD,EIGEN,ENA,ENS,ETC,ETHFI,ETH,FARTCOIN,FET,FIL,FLOW,GALA,GRT,HBAR,ICP,IMX,INJ,IOTA,JASMY,JTO,JUP,KAIA,KAS,KAVA,LDO,LINK,LTC,MANA,MORPHO,MOVE,NEAR,NEO,ONDO,OP,PENDLE,PENGU,POL,POPCAT,PYTH,QNT,RENDER,RUNE,SAND,SEI,SOL,SPX,STRK,STX,SUI,SUN,SUPER,TAO,THETA,TIA,TON,TRX,TURBO,TWT,UNI,VET,VIRTUAL,WIF,WLD,W,XLM,XMR,XRP,XTZ,ZEC,ZK,date
2019-12-31,,,,,,,,,,,,,,,65677245.57168,,,,641283508.593,,,,,,,,,,,,,,,,83636622.51408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-12-31
2020-01-01,,,,,,,,,,,,,,,48237643.96388,,,,408831541.57053,,,,,,,,,,,,,,,,60877270.405980006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-01
2020-01-02,,,,,,,,,,,,,,,60218194.91365,,,,802693115.10108,,,,,,,,,,,,,,,,66552625.46964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-02
2020-01-03,,,,,,,,,,,,,,,124708805.41702001,,,,1530700590.46776,,,,,,,,,,,,,,,,127726387.84112999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-03
2020-01-04,,,,,,,,,,,,,,,107368862.94827999,,,,680573078.63343,,,,,,,,,,,,,,,,68381635.40711999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-04
2020-01-05,,,,,,,,,,,,,,,102470998.74988002,,,,866093353.83792,,,,,,,,,,,,,,,,90627481.38171001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-05
2020-01-06,,,,,,,,,,,,,,,147928143.1115,,,,1304407587.5926301,,,,,,,,,,,,,,,,157744997.79064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20484145.92714,,,,2020-01-06
2020-01-07,,,,,,,,,,,,,,,148048906.97792,,,,2289293885.11338,,,,,,,,,,,,,,,,137621538.8043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26721994.80582,,,,2020-01-07
2020-01-08,,,,,,,,,,,,,,,146859900.20988998,,,,2589023022.82176,,,,,,,,,,,,,,,,170044827.5645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16580693.898160001,,,,2020-01-08
2020-01-09,,,,,,,,,,,,,,,93211371.89377001,,,,1464133737.2283702,,,,,,,,,,,,,,,,131788908.05648999,,,,,,,,,,,,,,,,,,,,9521313.994709998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9205791.6996,,,,2020-01-09
2020-01-10,,,,,,,,,,,,,,,201649465.37061,,,,2082827701.79132,,,,,,,,,,,,,,,,131533170.4552,,,,,,,,,,,,,,,,,,,,18845290.89088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13297590.550719999,,,,2020-01-10
2020-01-11,,,,,,,,,,,,,,,137933671.22363997,,,,1321320809.6604002,,,,,,,,,,,,,,,,118500040.24960001,,,,,,,,,,,,,,,,,,,,26879883.32525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15611356.391219998,,,,2020-01-11
2020-01-12,,,,,,,,,,,,,,,76215411.67120999,,,,889320926.2788,,,,,,,,,,,,,,,,92376755.44526999,,,,,,,,,,,,,,,,,,,,27143663.617980003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14380601.37748,,,,2020-01-12
2020-01-13,,,,,,,,,,,,,,,49664800.83,,,,605078606.132,,,,,,,,,,,,,,,,80211781.38576001,,,,,,,,,,,,,,,,,,,,23865899.6994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8021390.4328499995,,,,2020-01-13
2020-01-14,,,,,,,,,,,,,,,441864483.77732,,,,2566115682.3250003,,,,,,,,,,,,,,,,359647864.05878,,,,,,,,,,,,,,,,,,,,81262226.46345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49287191.268,,,,2020-01-14
2020-01-15,,,,,,,,,,,,,,,330380633.0733,,,,2097189901.6760998,,,,,,,,,,,,,,,,231907079.88140002,,,,,,,,,,,,,,,,,,,,39417718.46520001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18949045.23762,,,,,,,,,,,41254493.3427,,,,2020-01-15
2020-01-16,,,,,,,,,,,,,,,184837287.76854,,,,1465455388.8920398,,,,,,,,,,,,,,46936659.672000006,,128898867.54138002,,,,,,,,,,,,,,,,,,,,22310494.905600004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27702023.256839998,,,,,,,,,,,17169779.374199998,,,,2020-01-16
2020-01-17,,,,,,,,,,,,,,,256456521.076,,,,1834738440.4819198,,,,,,,,,,,,,,156073672.2716,,160997051.60088,,,,,,,,,,,,,,,,,,,22037800.61944,42746428.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24561708.33213,,,,,,,,,,,24855466.85388,,,,2020-01-17
2020-01-18,,,,,,,,,,,,,,,258674196.939,,,,1023774986.85,,,,,,,,,,,,,,97097047.13477,,142935679.19151,,,,,,,,,,,,,,,,,,,21972805.20534,23772324.16847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16585040.750400001,,,,,,,,,,,37481459.776590005,,,,2020-01-18
2020-01-19,,,,,,,,,,,,,,,161589210.92110002,,,,1961554457.47125,,,,,,,,,,,,,,113654226.68704,,124005788.64576,,,,,,,,,,,,,,,,,,,24695446.375200003,25351010.263919998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15164838.270680001,,,,,,,,,,,31259164.6264,,,,2020-01-19
2020-01-20,,,,,,,,,,,,,,,86958347.91516,,,,1082648488.75,,,,,,,,,,,,,,81337886.91388,,65151031.79907,,,,,,,,,,,,,,,,,,,19524524.4964,12659280.063329998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12843627.25316,,,,,,,,,6803533.60017,,18077481.6903,,,,2020-01-20
2020-01-21,,,,,,,,,,,,,,,58116381.4978,,,,940485729.7017901,,,,,,,,,,,,,,62376619.41456,,59597468.15048,,,,,,,,,,,,,,,,,,,15657102.899459999,10191525.90183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9049057.252630001,,,,,,,,,13097254.755559998,,24243459.45,,,,2020-01-21
2020-01-22,,,,,,,,,,,,,,,53319734.63552,,,,819002681.3967199,,,,,,,,,,,,,,59409359.16984001,,56239065.08506,,,,,,,,,,,,,,,,,,,8781492.4329,14034231.3004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8388322.715500001,,,,,,,,,12618573.3954,,20817063.85176,,,,2020-01-22
2020-01-23,,,,,,,,,,,,,,,89406567.07685001,,,,1374188045.4144,,,,,,,,,,,,,,65929994.91199999,,78405228.79339999,,,,,,,,,,,,,,,,,,,12995252.507439999,21262003.0865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10180539.639199998,,,,,,,,,12457544.290590001,,15225865.597800002,,,,2020-01-23
2020-01-24,,,,,,,,,,,,,,,145308933.3696,,,,1222272479.40636,,,,,,,,,,,,,,87681491.97344,,76853802.79512,,,,,,,,,,,,,,,,,,,9481169.91384,20716867.2704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8579080.4463,,,,,,,,,10474270.59887,,18165352.53216,,,,2020-01-24
2020-01-25,,,,,,,,,,,,,,,71514500.97728,,,,809110597.11296,,,,,,,,,,,,,,51829175.31407001,,45392737.288600005,,,,,,,,,,,,,,,,,,,4955269.5072,11420509.338720001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3228283.51924,,,,,,,,,9741918.469279999,,11464422.50733,,,,2020-01-25
2020-01-26,,,,,,,,,,,,,,,128518119.73556998,,,,1015252324.4483598,,,,,,,,,,,,,,74790885.58634,,54767110.09770001,,,,,,,,,,,,,,,,,,,4631022.8352500005,15681668.64764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5283083.219040001,,,,,,,,,11463902.78836,,15556509.520650001,,,,2020-01-26
2020-01-27,,,,,,,,,,,,,,,199735850.26395002,,,,1535238542.0140803,,,,,,,,,,,,,,175353968.64426,,71154552.99632001,,,,,,,,,,,,,,,,,,,9960475.921120001,21184088.5748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6431925.51471,,,,,,,,,11177798.09211,,17232340.01616,,,,2020-01-27
2020-01-28,,,,,,,,,,,,,,,159819450.78268,,,,2297745575.50308,,,,,,,,,,,,,,213036747.3303,,92386678.88892001,,,,,,,,,,,,,,,,,,,8581422.934080001,29695054.680990003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22791561.100980002,,,,,,,,,13165573.45895,,25849848.57384,,,,2020-01-28
2020-01-29,,,,,,,,,,,,,,,138506567.178,,,,1577848046.973,,,,,,,,,,,,,,238058206.00253996,,69801487.349,,,,,,,,,,,,,,,,,,,13999547.63151,30811128.4252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22215853.59324,,,,,,,,,13464504.6329,,19973282.3664,,,,2020-01-29
2020-01-30,,,,,,,,,,,,,,,158164704.13623,,,,1811187422.54912,,,,,,,,,,,,,,173670503.19787002,,121039090.36512,,,,,,,,,,,,,,,,,,,19790855.336680003,76894226.13946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18361960.32573,,,,,,,,,13704123.749259999,,33231495.89655,,,,2020-01-30
2020-01-31,,,13178371.84498,,,,,,,,,,,,124442310.72546001,,,,1373249447.9172602,,,,,,,,,,,,,,165230032.48016,,121148121.90686,,,,,,,,,,,,,,,,,,,11107910.170000002,89534902.4814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25967646.7831,,,,,,,,,10827231.4112,,27537319.57362,,,,2020-01-31
2020-02-01,,,20939830.1766,,,,,,,,,,,,106383691.97918999,,,,1024187046.5309,,,,,,,,,,,,,,111234328.49004,,96815791.65258,,,,,,,,,,,,,,,,,,,8272239.44751,85905792.44478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12212139.1483,,,,,,,,,10257252.856900001,,18934649.324640002,,,,2020-02-01
2020-02-02,,,26874074.10354,,,,,,,,,,,,106808054.37400001,,,,1385816679.8214002,,,,,,,,,,,,,,111730989.70087999,,171115778.27482,,,,,,,,,,,,,,,,,,,10768880.98704,74741879.56624001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20884147.0249,,,,,,,,,8447725.71376,,47291086.0411,,,,2020-02-02
2020-02-03,,,19295813.15994,,,,,,,,,,,,104162860.29570001,,,,1479261072.1064,,,,,,,,,,,,,,131140772.57724999,,123838197.85695998,,,,,,,,,,,,,,,,,,,9963097.36864,63306733.43897999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16591107.058510002,,,,,,,,,13070123.159699999,13584895.02216,34866859.155,,,,2020-02-03
2020-02-04,,,14970775.84353,,,,,,,,,,,,96958101.33064,,,,1359919955.9617,,,,,,,,,,,,,,93632315.24374,,116107024.53478998,,,,,,,,,,,,,,,,,,,13668201.06083,58930748.348850004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11439776.765670002,,,,,,,,,13223207.4559,17367282.01767,78645352.84956001,,,,2020-02-04
2020-02-05,,,17467697.05461,,,,,,,,,,,,287408738.23227996,,,,2044561642.11,,,,,,,,,,,,,,118214622.41513999,,184263850.6215,,,,,,,,,,,,,,,,,,,18968807.39379,68260701.6523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28540308.12272,,,,,,,,,20038313.32848,21438038.350560002,91050849.53454,,5968117.70358,,2020-02-05
2020-02-06,,,17197904.00762,,,,,,,,,,,,229640392.53288,,,,1961064223.2900403,,,,,,,,,,,,,,184651170.05376,,267651571.63659003,,,,,,,,,,,,,,,,,,,19765144.21764,65230980.00768001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78074889.49896,,,,,,,,,14226551.3687,10218598.53066,87725846.37021,3531161.0516000004,4862020.3572,,2020-02-06
2020-02-07,,,18131856.85792,,,,,,,,4657771.74536,,,,198295040.35926,,,,1274251537.9058402,,,,,,,,,,,,,,85564243.11866,,235681845.72752,,,,,,,,,,,,,,,,,,,71181962.77115,56043421.2504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59822424.54497,,,,,,,,,11396488.393350001,11611769.150569998,50108048.96661,4681699.4765,6733675.30137,,2020-02-07
2020-02-08,,,15572397.60042,,,,,,,,5736284.774940001,,,,176518541.72461998,,,,1280577151.6396701,,,,,,,,,,,,,,66351101.2272,,243813169.79556,,,,,,,,,,,,,,,,,,,47743889.916600004,69572159.83086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39038407.817,,,,,,,,,8318830.78692,10084410.16801,59144573.52825001,8259263.7101,6280423.913509999,,2020-02-08
2020-02-09,,,13576193.4715,,,,,,,,4690427.364,,,,148990255.594,,,,1458073595.83594,,,,,,,,,,,,,,75342856.1081,,221557141.37967998,,,,,,,,,,,,,,,,,,,37207643.604,66897116.027430005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28702621.479840003,,,,,,,,,7970642.30392,14705465.577600002,52628754.2144,29412991.2648,5255763.184590001,,2020-02-09
