datetime,1INCH,AAVE,ADA,AERO,AKT,ALGO,APE,APT,ARB,AR,ATOM,AVAX,AXL,AXS,BCH,BNB,BRETT,BSV,BTC,CAKE,CFX,CHZ,COMP,CRV,DOGE,DOT,DRIFT,DYDX,EGLD,EIGEN,ENA,ENS,ETC,ETHFI,ETH,FARTCOIN,FET,FIL,FLOW,GALA,GRT,HBAR,ICP,IMX,INJ,IOTA,JASMY,JTO,JUP,KAIA,KAS,KAVA,LDO,LINK,LTC,MANA,MORPHO,MOVE,NEAR,NEO,ONDO,OP,PENDLE,PENGU,POL,POPCAT,PYTH,QNT,RENDER,RUNE,SAND,SEI,SOL,SPX,STRK,STX,SUI,SUN,SUPER,TAO,THETA,TIA,TON,TRX,TURBO,TWT,UNI,VET,VIRTUAL,WIF,WLD,W,XLM,XMR,XRP,XTZ,ZEC,ZK,date
2019-12-31,,,,,,,,,,,,,,,320814.994,,,,89203.437,,,,,,,,,,,,,,,,647743.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-12-31
2020-01-01,,,,,,,,,,,,,,,235950.127,,,,56801.329,,,,,,,,,,,,,,,,466063.929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-01
2020-01-02,,,,,,,,,,,,,,,307659.505,,,,115295.677,,,,,,,,,,,,,,,,523582.924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-02
2020-01-03,,,,,,,,,,,,,,,560968.042,,,,208493.458,,,,,,,,,,,,,,,,951123.597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-03
2020-01-04,,,,,,,,,,,,,,,478534.844,,,,92586.033,,,,,,,,,,,,,,,,509778.108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-04
2020-01-05,,,,,,,,,,,,,,,460171.541,,,,117765.972,,,,,,,,,,,,,,,,669677.687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-05
2020-01-06,,,,,,,,,,,,,,,606014.515,,,,168150.317,,,,,,,,,,,,,,,,1095147.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92022218.9,,,,2020-01-06
2020-01-07,,,,,,,,,,,,,,,610964.456,,,,280809.162,,,,,,,,,,,,,,,,963331.505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124985943.9,,,,2020-01-07
2020-01-08,,,,,,,,,,,,,,,611483.117,,,,321225.114,,,,,,,,,,,,,,,,1208133.766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79791597.2,,,,2020-01-08
2020-01-09,,,,,,,,,,,,,,,391595.059,,,,187263.143,,,,,,,,,,,,,,,,956864.213,,,,,,,,,,,,,,,,,,,,212861.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45126429.9,,,,2020-01-09
2020-01-10,,,,,,,,,,,,,,,742149.591,,,,253783.948,,,,,,,,,,,,,,,,908378.249,,,,,,,,,,,,,,,,,,,,384284.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62488677.4,,,,2020-01-10
2020-01-11,,,,,,,,,,,,,,,528805.671,,,,164741.715,,,,,,,,,,,,,,,,832163.204,,,,,,,,,,,,,,,,,,,,545784.433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73742826.6,,,,2020-01-11
2020-01-12,,,,,,,,,,,,,,,281476.573,,,,108629.964,,,,,,,,,,,,,,,,630256.911,,,,,,,,,,,,,,,,,,,,528807.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66638560.6,,,,2020-01-12
