metric,scenario_a,scenario_b,n_a,n_b,p_value,cohens_d,q_value
stability_matrix_corr,leakage_control_20251017_180832,leakage_placebo_20251017_180955,89,34,3.174674759223827e-16,4.834827710602517,9.524024277671482e-16
stability_matrix_corr,leakage_control_20251017_180832,wf_full_20251017_181105,89,1246,0.10125146729170538,-0.1157111815423713,0.13807018267050733
stability_matrix_corr,leakage_control_20251017_180832,wf_full_20251017_181834,89,1246,0.10125146729170538,-0.1157111815423713,0.13807018267050733
stability_matrix_corr,leakage_control_20251017_180832,wf_trunc_20251017_183222,89,89,1.0,0.0,1.0
stability_matrix_corr,leakage_control_20251017_180832,wf_trunc_20251017_184009,89,89,1.0,0.0,1.0
stability_matrix_corr,leakage_placebo_20251017_180955,wf_full_20251017_181105,34,1246,2.779789173570277e-16,-11.724766140955504,9.524024277671482e-16
stability_matrix_corr,leakage_placebo_20251017_180955,wf_full_20251017_181834,34,1246,2.779789173570277e-16,-11.724766140955504,9.524024277671482e-16
stability_matrix_corr,leakage_placebo_20251017_180955,wf_trunc_20251017_183222,34,89,3.174674759223827e-16,-4.834827710602517,9.524024277671482e-16
stability_matrix_corr,leakage_placebo_20251017_180955,wf_trunc_20251017_184009,34,89,3.174674759223827e-16,-4.834827710602517,9.524024277671482e-16
stability_matrix_corr,wf_full_20251017_181105,wf_full_20251017_181834,1246,1246,1.0,0.0,1.0
stability_matrix_corr,wf_full_20251017_181105,wf_trunc_20251017_183222,1246,89,0.10125146729170538,0.1157111815423713,0.13807018267050733
stability_matrix_corr,wf_full_20251017_181105,wf_trunc_20251017_184009,1246,89,0.10125146729170538,0.1157111815423713,0.13807018267050733
stability_matrix_corr,wf_full_20251017_181834,wf_trunc_20251017_183222,1246,89,0.10125146729170538,0.1157111815423713,0.13807018267050733
stability_matrix_corr,wf_full_20251017_181834,wf_trunc_20251017_184009,1246,89,0.10125146729170538,0.1157111815423713,0.13807018267050733
stability_matrix_corr,wf_trunc_20251017_183222,wf_trunc_20251017_184009,89,89,1.0,0.0,1.0
