,ROSE,ANKR,VET,NEAR,ETH,EOS,BAKE,GRT,REEF,INJ,FIL,MATIC,BCH,IOST,CHR,EGLD,HBAR,ZIL,ALGO,DENT,DASH,ALICE,IOTA,LINK,XTZ,LRC,ONE,SXP,KAVA,AXS,ADA,SOL,ONT,ETC,MANA,SNX,ZEC,CFX,YFI,WAVES,LTC,CHZ,XLM,COTI,DOT,OMG,SUSHI,FTM,BNB,UNI,STX,RUNE,THETA,HOT,1INCH,FET,KSM,SLP,CRV,IOTX,BTC,AVAX,ENJ,CAKE,XRP,TRX,ATOM,AAVE,DOGE,NEO,SAND,QTUM
ROSE,0.0,0.03357667019377519,0.09495738844556528,0.02689280522791293,-0.06876541831979854,-0.05948027765422825,0.0,-0.015613054791498548,-0.015246040016568152,-0.005964372262626361,0.0400392627175743,0.020822359565355553,0.010869946048421342,-0.04919900319423248,-0.01282828802672753,-0.06598808524682753,0.03772883183796838,0.0025872834291915114,-0.03213385182392492,-0.015332875108310606,0.016652097393980103,0.0,-0.0012491601337042413,0.030135022585881632,0.05593887032487144,-0.0012215372470117947,0.029016615154358383,-0.05972445702432094,0.014097390323869252,0.012691658739377165,-0.033503388962517866,-0.043412970731204314,-0.04453985696936097,-0.002804317523628086,0.004940766041481859,0.017188838918468674,0.040966465896675686,0.0,0.015368371307279582,-0.009261827119334098,-0.05464887408648489,0.08296239382254261,-0.05109881881446032,0.012840728180794958,0.048759254517624306,-0.10446323157818294,-0.03946578107781851,-0.028119697397954946,-0.0030275346700612826,-0.051234529498804526,0.09231373319007352,-0.03441940332769161,0.021119061522866023,-0.01678143109030278,-0.07584794443054521,-0.03708291613906978,0.03536142181624863,0.0,-0.06420274996426678,0.014621825511008324,-0.061676423763719346,-0.042072026848805955,0.13648911905595007,0.126315073907451,-0.12566410947882528,-0.026782133414945508,-0.04356745044298238,-0.04536430750445353,-0.1288630381322855,0.01303518682475352,0.012877841562124126,-0.02004652390343975
ANKR,-0.03357667019377519,0.0,0.06880978341869026,-0.010229681576670813,-0.10127829625647494,-0.10017211597880726,0.0,-0.06637224929393137,-0.07300699155169754,-0.061056173534665525,-0.0024658631189734548,-0.004657661526738077,0.023936085220597758,-0.07380955094106756,-0.07112504347344806,-0.13201174205700889,-0.00802501984644266,-0.021252081934163725,-0.0890378227628526,-0.06120117589797652,-0.0010330890384220304,0.0,-0.03269632292790753,-0.010664708026123293,0.009543636799418387,-0.06662423299347231,-0.010239947000756477,-0.10839311844245286,-0.035047713433011274,-0.04593246790638095,-0.06181597794453858,-0.07710400087223468,-0.08026050070497903,-0.04280115378996224,-0.05376541304476412,-0.05737338202142883,-0.007799733350392135,0.0,-0.018551889849416192,-0.04019551788062525,-0.039966547702988076,0.07408593017498655,-0.0950742605754839,-0.007924859550674956,0.022013672674577767,-0.14746848899577897,-0.09524350192318176,-0.08727923811148386,-0.016479311744323766,-0.12092115277405807,0.08336008899934427,-0.11177620497773844,-0.00029411290487046937,-0.04456878651629259,-0.1557081957103389,-0.06989731693602674,0.02380998403721074,0.0,-0.1304572640579123,-0.03669623801378474,-0.06446243571469445,-0.10198890197487748,0.09725981428157848,0.0867407713595581,-0.17454618457360355,-0.07875963818527254,-0.06830186235012042,-0.11704026390686367,-0.20757822891278338,-0.026355393829819884,-0.024789525346395058,-0.08077803113119641
VET,-0.09495738844556528,-0.06880978341869026,0.0,-0.07978681828600526,-0.17749912462102319,-0.13208540691453302,0.0,-0.10494527098094608,-0.12945183662839876,-0.1181771474745027,-0.05879150238465197,-0.06307831374197032,-0.06290493589436219,-0.14348052341211215,-0.12481799612295563,-0.15464897673587147,-0.0717258088604874,-0.06448478090573084,-0.11770440867103438,-0.09122152048784599,-0.06221852708468928,0.0,-0.09048209419168629,-0.09967933746961888,-0.05938660120008754,-0.07631686515108832,-0.06303249985959597,-0.15409086961559504,-0.09968804611754722,-0.07791757311700481,-0.11454505426604294,-0.1255481894739811,-0.1437318268527144,-0.08707219668200611,-0.11141215326222714,-0.08400468243384585,-0.04055712770875464,0.0,-0.056876734910963955,-0.10284510593146423,-0.0995493778302069,0.021630926584494614,-0.13850108168341657,-0.07275415434770116,-0.0509456141313428,-0.18110295706612906,-0.1272292783945393,-0.11155061110229064,-0.06914262294231788,-0.13270594511586248,0.03897618198553382,-0.11600568336566619,-0.04516033089427118,-0.08189424941921741,-0.15204471604383812,-0.1373028498079405,-0.05343942012340169,0.0,-0.1751862863327978,-0.08486190133434235,-0.11547307743091656,-0.14845832738551157,0.015153778816434593,0.15565668988136472,-0.1798476731839067,-0.10434331686383441,-0.1313940862620458,-0.15136034757491668,-0.20390510929318761,-0.09606221751777555,-0.10606145083570623,-0.11649042172052448
NEAR,-0.02689280522791293,0.010229681576670813,0.07978681828600526,0.0,-0.07332081941675128,-0.05219182569397024,0.0,-0.053864295555845376,-0.05030846984737802,-0.04215840215052269,0.012595899282883516,-0.00649598809588986,-0.003694803784110523,-0.11807346447667694,-0.03801626116015655,-0.07482835812524868,-0.0015513765244050681,-0.020607539987684165,-0.052958351939189074,-0.04085205508010992,-0.03852703993332862,0.0,-0.024221213087692817,-0.029810190695418015,0.023213264635854824,-0.024603173011879975,-0.012230658863314536,-0.07821554287060173,-0.012997327308020168,-0.018971187295995118,-0.05892589766926054,-0.07112366947468729,-0.07460230534274348,-0.04067169787156211,-0.02735340077050974,-0.023488195586242377,-0.030364208507175416,0.0,0.020245332417099415,-0.05642757096847084,-0.03273304823530038,0.04033326952997118,-0.06070286780532752,-0.01804010732931005,-0.013445966347220173,-0.1227632869211292,-0.08630772640623385,-0.06842625949788234,-0.03786649336962156,-0.10144424122631956,0.06859346459176452,-0.08042434952018984,-0.005984437565679179,-0.04148893795024072,-0.12073309446586933,-0.06383161876902221,-0.017246250997519252,0.0,-0.11073540830923562,-0.014583739765955284,-0.05734183865527048,-0.08179107051632528,0.10121763523467825,0.08520438410681988,-0.12236650161247181,-0.04211353278384,-0.07570068651231593,-0.08734629982817244,-0.14312660108451658,-0.04021290338256911,-0.03438606215733342,-0.04596834563175334
ETH,0.06876541831979854,0.10127829625647494,0.17749912462102319,0.07332081941675128,0.0,0.08218528385654,0.0,0.056600209594850126,0.031263455774902305,0.02245027290344981,0.14389140427418506,0.07639858519452314,0.17350282977669207,0.0008776126434201781,0.08921467729313082,-0.007655929210340973,0.06419438461553517,0.12579406750666305,0.05517046825660399,0.06665984072728987,0.1444821400929811,0.0,0.09729525864275934,0.07376291402128854,0.15379524387199078,0.0474360092228896,0.131419748848916,0.030926435794784823,0.09418034622770932,0.09935593039173235,0.026582333340683606,0.013583817173751789,0.07465043083547668,0.1258170462666226,0.06442288083100711,0.07595430590791641,0.15524018057641187,0.0,0.15134635079058406,0.08469592558286276,0.09243348565994985,0.13779675860876206,0.05675565812079569,0.06727501022422344,0.07388089027752892,0.022910561335966584,-0.005927916566781599,-0.013961018457080199,0.073094560034142,-0.04428469100748389,0.1284438605949071,-0.03703652133424551,0.09600385644879594,0.033650912041796543,-0.043104737347343325,0.0419025223565026,0.07590026475389139,0.0,-0.052953542738854,0.08630131315716955,0.039812678668590396,0.0270706373564914,0.15253206746141734,0.14102567941711783,0.023316721788242734,0.09232850886190125,0.03179085397908876,-0.017598155181524078,-0.07886812460735398,0.11549244228807015,0.08090724088261408,0.0877704209131005
EOS,0.05948027765422825,0.10017211597880726,0.13208540691453302,0.05219182569397024,-0.08218528385654,0.0,0.0,0.05184867116750819,-4.9602342504728725e-05,-0.01085054449924977,0.0827755805278263,0.09628848039638405,0.06093722037328664,0.018462616056106107,0.02929660622137681,-0.049053303223955125,0.03193849635162105,0.09083731070345485,0.009369453441482545,0.06060950071960197,0.10936077990238319,0.0,0.06653178445684726,0.04424266863673626,0.05661573323794311,0.019971263207709367,0.10373226664946239,-0.025835627002080974,0.030905787912510863,0.06303818285212476,0.05605103778085424,0.028439357289179512,0.014533548567791765,0.06157687815828111,0.018773913733542813,0.0012986710729709916,0.06976501936718699,0.0,-0.006688426350770549,0.03961587056298005,0.04533307198590242,0.2133028790837132,-0.0049585320843502645,0.09072959164463756,0.10923880063498631,-0.04315493188097075,0.006984508756684826,0.023781259488658057,0.10784195127377866,-0.01128453734901741,0.1983043998046026,-0.01832907031223624,0.10543576263078819,0.09034787348222773,-0.04773973369470291,0.02015300041955692,0.12977539830894635,0.0,-0.07579987103590463,0.0671999238843573,0.028761582714900258,-0.03280849268670183,0.14478948003740955,0.05301980881043898,-0.035916571418919296,0.026612368616352744,0.031068644290092984,-0.06321261883916063,-0.10430452826150455,0.06609872278982848,0.060064611324549155,0.017166153826595143
BAKE,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRT,0.015613054791498548,0.06637224929393137,0.10494527098094608,0.053864295555845376,-0.056600209594850126,-0.05184867116750819,-0.0,0.0,-0.01057067582369986,0.002586660541127439,0.056888317911574005,0.06340088819168666,0.013343474054557991,-0.0318468510092757,-0.00644807178092599,-0.046528163451196924,0.03797220432949333,0.027244964659707216,-0.016282091588674774,0.011754617476736673,0.03025806911077783,0.0,0.022515525321244567,0.024188251053695597,0.055887336514594876,0.0012428867059667281,0.058472875644579037,-0.03884146988353099,0.03018970585233427,0.02282229832606264,0.0055121348526920855,0.002277251317683582,-0.036900559444960734,-0.0062494476290957945,0.014156614002712176,0.028254020074327757,0.032624555981096426,0.0,0.02016640465043712,0.00607169964058718,-0.02793641989292628,0.1266261817349365,-0.025669692774242137,0.04927589047287628,0.06204048378050003,-0.09582117413676183,-0.023061012431075167,-0.00285814111250815,0.03307346915970738,-0.04889539246166602,0.1403399517271227,-0.034621195369151536,0.04910331185933642,0.012011414367981144,-0.07372354891734118,-0.007129851291001521,0.06241811919960222,0.0,-0.07688056764590323,0.030898908285269422,-0.020095356448554202,-0.0371905478094231,0.15375134292006998,0.09717377753872553,-0.08556789893205735,-0.018556560285551194,-0.010774719157404578,-0.04034495647547409,-0.11457822300159892,0.021682885157336018,0.017781099521021082,-0.021888692495477313
REEF,0.015246040016568152,0.07300699155169754,0.12945183662839876,0.05030846984737802,-0.031263455774902305,4.9602342504728725e-05,-0.0,0.01057067582369986,0.0,-0.0002637175267732328,0.08351271131640803,0.055774259462260334,0.05029368309452087,-0.04653470180803215,0.0216934608450311,-0.034509936155953436,0.046296570608604926,0.046896924624445946,-0.0041045960708605556,0.03798490925405573,0.04345737152326301,0.0,0.043429928698043574,0.018485905889985,0.0751177321215033,-0.019409367577899572,0.07072462033952909,-0.014727528479694496,0.04314194778711511,0.03867561306008527,-0.005744403302330281,0.0014677296384911775,-0.00406370279700774,0.025820593903653988,0.04161671775366116,0.01557702256043203,0.041488432419128196,0.0,0.08963511273771185,0.004276201595241669,0.008538310673022798,0.09155474835458371,-0.0001688828995052849,0.04690869252161872,0.029816806680508345,-0.0710876845263193,-0.04912324896173048,0.0025997879278204516,0.0202472318826058,-0.07076675219555628,0.1494889321242774,-0.05223918311149012,0.041041033782629965,0.023711764788627798,-0.08918373497120802,-0.011526413294545068,0.03878261453859627,0.0,-0.08964198861003303,0.03826773124250005,-0.0020006588779351575,-0.02911902544785827,0.15831716067549756,0.12204397075267341,-0.0718288651658755,0.01997164578621269,-0.017505993967783073,-0.04783129074606918,-0.09724168311054959,0.042541989650367706,0.028967254578126544,0.01584651403588566
INJ,0.005964372262626361,0.061056173534665525,0.1181771474745027,0.04215840215052269,-0.02245027290344981,0.01085054449924977,-0.0,-0.002586660541127439,0.0002637175267732328,0.0,0.07681309091441951,0.03218112120469763,0.08392997126816665,-0.04933634668010922,0.020119913944748435,-0.04553854618629316,0.04019626722485237,0.04280352903685214,-0.0051602777519045295,0.014039025770841429,0.04155735098934865,0.0,0.02617487826753101,0.037214095352122945,0.09398394237281504,-0.006572895260535838,0.06495891121455166,-0.01357043948143144,0.04822741773455075,0.028638285277355013,-0.02508633144819672,-0.01826064031387964,-0.0026845240181727625,0.02912692841361103,0.029693154098199614,0.02838917804935881,0.05345420099165715,0.0,0.0999776024148597,0.01448123074449359,0.012474967703527073,0.06976334421702396,0.007605747945432673,0.02717814109001776,0.020522713397069015,-0.05085398467290814,-0.04773548920385062,-0.02767659176872933,0.0054979156599206935,-0.08291475003160864,0.09017562150718295,-0.06442647381769884,0.02249522166119927,-0.011883863783580473,-0.07915007534798169,-0.010580447274710303,0.019727167344278373,0.0,-0.06955871607522723,0.02991509345403598,-0.011373006777396222,-0.026960454648396914,0.13692314784786064,0.12192232895774181,-0.048889536927492094,0.01628634614602653,-0.02344884929904334,-0.04410030813793986,-0.09543790324128626,0.04007337303775238,0.022621290208777012,0.012790943435137536
