,ROSE,ANKR,VET,NEAR,ETH,EOS,BAKE,GRT,REEF,INJ,FIL,MATIC,BCH,IOST,CHR,EGLD,HBAR,ZIL,ALGO,DENT,DASH,ALICE,IOTA,LINK,XTZ,LRC,ONE,SXP,KAVA,AXS,ADA,SOL,ONT,ETC,MANA,SNX,ZEC,CFX,YFI,WAVES,LTC,CHZ,XLM,COTI,DOT,OMG,SUSHI,FTM,BNB,UNI,STX,RUNE,THETA,HOT,1INCH,FET,KSM,SLP,CRV,IOTX,BTC,AVAX,ENJ,CAKE,XRP,TRX,ATOM,AAVE,DOGE,NEO,SAND,QTUM
ROSE,0.0,-0.18085734077506838,-0.47655036607666335,-0.025779129269098422,-0.18310384948158948,-0.6740743788354939,0.0,-0.7167920233142298,-0.12343217571693117,-0.28884932326721263,0.6189077023003291,-0.4812212641569238,-0.0839414232291775,-0.31657101903737117,-0.667550455622682,-0.6167111875183912,0.22920730244889181,-0.34147197645204347,-1.0287537131950848,0.3280924955711344,0.6705808257478105,0.0,-0.3703967760320007,-0.7231925513280248,-0.3392801969031668,-0.6275528021201049,0.10730943266059192,0.3037105000183493,-0.6208311259524504,-0.044064053736361186,-0.8291892608659792,0.6572378108845033,-0.2153123794612032,-0.014100157620686574,0.8968408536691371,-0.4759442872741957,0.6627743999866639,0.0,0.9450275707755951,0.3012460079547409,0.03345168971648649,-0.7426664687569133,-0.5541458731400548,0.6208763920141029,-0.3198793938150493,-0.5165708469553673,-0.3471254574310496,-0.3990627538098187,0.14470046966577202,-0.4718314802511028,-0.4501686224987441,-0.7205646461832647,-0.4663543720215743,-0.10316226789169158,-0.7607438259254173,-0.40654607414146265,-0.17216695214197436,0.0,-0.17679341942644716,-0.47437283213867615,0.30469757156176247,-0.6644581716957323,0.06638339325157727,0.0,0.9431231421068038,0.02158913837910803,-0.6649979204602539,-0.17908295192074852,-0.6170712290119931,0.43160587044157567,-0.7119829821935535,-0.2981234390158367
ANKR,0.18085734077506838,0.0,-0.4389339237847827,-0.6665939151149499,-0.018850831609034408,-0.7772587053741905,0.0,-0.7061928864738383,-0.07628007395802096,-0.5058906864008509,1.2792255923260014,-0.2816284691636202,0.24764307383323256,-0.9462420636450224,-0.7152066278873999,-0.5623840548103232,-0.6532115219041601,-0.18801903966066824,-0.95548375199074,0.16656452705282732,1.439998899617874,0.0,0.0313689956067936,-0.5775735130659799,0.35114094537374074,-0.5955371292196298,-0.2866760694118755,-0.32099445198695686,-0.18799655985130398,-0.008160317704802675,-0.855574422980065,0.2376955265791576,0.16665516951850942,0.7484196925633245,0.5103765248290276,-0.04953100833738632,1.3999308480610777,0.0,0.47323304265370775,0.778608475148983,-0.036945240223676463,-0.7200516126436642,-0.46325251441814586,0.2412171582234693,-0.23930757827943036,-0.19987766808186969,-0.9454723968396573,-0.5614075292507029,0.13593146735284437,-0.4260493259338547,-0.3027651868828766,-0.34877647668218975,-0.7259448683215017,-0.18169226700619173,-0.6287229957222898,-0.36413905003944724,0.15538599985858692,0.0,0.12143496505585864,-0.5157402927640368,-0.32007335155419003,-1.3503163361230848,-0.8330320053638783,0.0,0.7866430866266142,0.33614422777931996,-0.19880473134736842,0.37897661772276725,-0.6623061893038606,1.275889240052765,-0.9256925232061293,0.2114303925142318
VET,0.47655036607666335,0.4389339237847827,0.0,-0.2888622821739433,0.5072556626632023,0.1382052807155513,0.0,-0.006244574013217374,-0.17297149426930067,-0.1280817276203521,0.7219066541016352,0.638189889771932,0.439786544912751,-0.3327374472373748,0.153181407607888,0.31317488716106534,-0.44585761811419233,0.42931259840747593,-0.0594756132050049,0.5952433364151353,0.7835292880258465,0.0,0.6154586163223799,0.21385930398287514,0.7505954702320699,-0.15868383197915184,0.3722320813774973,0.19282444588694742,0.5159906366593463,0.5519226493959222,0.18582522244026506,0.19223620424847893,0.5850265592319009,0.6897885859365814,0.46577299894872093,0.31139796468810876,0.8838953592745021,0.0,0.42826596828617847,0.6162913205074008,0.3633832278910101,-0.13064005525360198,0.4779652819940405,0.5037854598401851,0.0923541543059305,0.33984448975751713,-0.1728396427165701,0.4073978748485931,0.4039903447010541,-0.032892351990651124,0.033879212994565526,0.20399167635384918,-0.5559347768324214,0.0717917993044824,-0.08871048347836832,0.38897010836058665,0.32399100773004735,0.0,0.517553284798925,0.0862362511207287,0.15359789367019416,-0.5280592526410989,-0.19116843371032283,0.0,0.7787386520107429,0.7383213936159619,0.3998814413118954,0.500604897395778,-0.10510471249600212,1.080205950664342,-0.03453157330496644,0.6735252924041137
NEAR,0.025779129269098422,0.6665939151149499,0.2888622821739433,0.0,0.30755689802430164,0.4261272378310495,0.0,0.19368577696447545,-0.025412113399183645,-0.16953965847409957,0.8643692705633406,0.43439995778751145,0.9716462559146938,0.14788607307412244,0.627704855328063,-0.0071799912840014414,-0.670884926378734,0.3859851117809395,0.4003921969461722,0.6131831812847623,1.0674931090473387,0.0,0.6553327373170876,0.6643640958844566,0.9060406495405704,-0.20727726164847987,0.03794068605029233,0.045810768915173924,0.791152597895463,0.28476566881084664,0.3290083683560873,-0.2506380491813074,1.0388928110088216,1.077234907891074,-0.644119484345309,0.4074191807503478,1.1459734010222826,0.0,-0.4976453974641051,0.8667402567880516,0.333955195633039,0.4480601073029007,0.3137874308764726,0.08489142320088283,0.5554875399421486,0.5092827465158598,-0.21897251469821308,0.24031714834397325,0.10129911691391422,0.12977747140825358,-0.36129109201982407,0.6552421216103584,0.13458247868043138,0.5385692602144043,0.40928986779961263,0.34407835467385406,0.9382164117004849,0.0,0.7399961358092983,0.5090446569257903,-0.4800166116887261,-0.032814233395355,-0.5354289624363148,0.0,-0.2930165432063551,0.7431666940011318,0.8373237322316933,0.2555259736859421,0.4652263063767948,0.9976198337148396,0.2948604940032268,1.0618608231741329
ETH,0.18310384948158948,0.018850831609034408,-0.5072556626632023,-0.30755689802430164,0.0,-0.30739321613554554,0.0,0.1139727051217968,0.4308019346825469,-0.61041334825589,0.9223543028845289,0.3069610828835946,0.030422541780903894,-0.3923294176799591,-0.112697643751094,0.2856911275598506,-0.17661572621236057,0.3481222415192577,-0.16796509001062063,0.22872868915773464,0.8118905357232187,0.0,0.38736315413921174,-0.2885873056214499,0.570478238732776,-0.08590159686353599,-0.18246894232827052,-0.0983381840188838,0.24414978352217123,-0.03721853873327105,-0.1736316556808406,0.21590732360427853,0.15052355107573295,0.5991055493937862,0.2366274816527501,0.49063287512917053,0.8439453211380386,0.0,0.14062343210423053,0.49427784160839955,-0.23028478443659597,-0.377780031631692,0.13828007352636834,-0.06120283316632391,-0.48041440516933087,0.024832714607659456,-0.23089351600155156,-0.02138252389757886,-0.07624743481468432,-0.27394120508933006,-0.18959461629524288,-0.0941595126093612,-0.27052554993779865,0.04578323769028232,-0.3735130712193622,-0.08959365964716631,-0.16659556544768495,0.0,0.04546400139070781,-0.2608378250318353,-0.17950124332847428,-0.36423851994864254,-0.15162455684772425,0.0,0.5151530360457587,0.2489271294631529,0.04833094262098454,0.795851368639725,0.00196337576849398,0.6559426450418244,-0.5574417079384402,0.2660288041028115
EOS,0.6740743788354939,0.7772587053741905,-0.1382052807155513,-0.4261272378310495,0.30739321613554554,0.0,0.0,0.07079653704193936,0.47087708260512756,-0.4356135702299567,1.476060483533161,0.2502367005466921,0.8634298110814902,-0.5303406805795595,0.1331131468513279,-0.09250846283458716,-0.8021217806155397,0.5264746583942435,-0.21804425994772192,0.7668513058117554,1.517833251174958,0.0,0.8514135160837157,0.1113476965415479,0.9474841145471793,-0.3084714380658096,0.1935102085620012,0.10276272612286133,0.6060922491905789,0.5290078667543404,-0.26427952121273246,0.09229144499010322,0.8315627214788444,1.1246740480477915,0.45330518010500837,0.34832659741429656,1.548977066940369,0.0,0.49255787749070873,1.3506600018392865,0.2767043459143756,-0.028017040393684967,-0.013974138594313814,0.48116691954910246,0.21425439450973727,0.3247033424045498,-0.29626539933474433,-0.08523092105859077,0.57140698660607,0.06056345151268888,-0.11954130193146424,0.2892699446788728,-0.2505546886630481,0.5496896827272874,-0.19312008230879604,0.13159820622077842,0.34740794268447217,0.0,0.7854524811901806,0.2829136606184509,-0.06919061754262529,-0.7252511408858253,-0.7054973443526321,0.0,0.8480686035085091,0.8908536100583879,0.5292652402404479,0.692819342125265,0.117259898948342,1.4091748756748461,-0.3121392465470776,0.8522484214235051
BAKE,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRT,0.7167920233142298,0.7061928864738383,0.006244574013217374,-0.19368577696447545,-0.1139727051217968,-0.07079653704193936,-0.0,0.0,0.049288141630901505,-0.37968672056763014,1.156836606535616,0.016883089301910847,0.4611926418120097,-0.6310197582990135,-0.14269121892841266,-0.42235777539667846,-0.5373394901349423,0.3728445492821871,-0.5400146006108393,0.3767150994320545,1.1338868915571012,0.0,-0.01993855317182349,0.11529741242338792,0.22527802276408238,-0.9805339802770365,0.04981815686994945,0.3124629173806629,0.030849456292484458,0.47055581684865777,-0.288629559669226,-0.5157624750419897,0.6064567534184131,0.31261992215159695,0.7412879857191262,-0.8152050897849972,1.0835027168621596,0.0,0.5140459243485302,1.1010373001258298,0.17499207537761755,0.14685902693224745,0.14469524696993685,0.4809013480733727,0.3033735689638801,-0.3206720306182438,-0.7551840336442255,-0.361582710571163,0.19389577827648657,-0.04772359515333069,-0.09680026043318249,-0.40131394177732715,0.20054723321590653,0.3191580742339346,0.23421489993451605,0.21115100458693617,0.6928793048055126,0.0,0.31168237638575774,0.36472565495109904,0.44262371036041126,-0.7920451588276898,-0.6194066404247989,0.0,0.7367190286764207,0.23364393664734043,0.047792674677713726,-0.5513111344647375,0.06854020176340858,1.2330057808258408,-0.20158239527213373,0.5074886869694228
REEF,0.12343217571693117,0.07628007395802096,0.17297149426930067,0.025412113399183645,-0.4308019346825469,-0.47087708260512756,-0.0,-0.049288141630901505,0.0,-0.3335557400327551,0.8621271203259143,-0.3724432744279109,-0.022596422421178042,-0.8269220237397075,-0.5379452207640084,-0.36059367903721384,-0.15365179904208034,-0.1336900006425013,-0.39473168675654774,-0.4781838925812106,0.7994923907855171,0.0,-0.7318773363686479,-0.03998809941068193,-0.20014738192465503,-0.7700580030168633,-0.7323377240790019,-0.12942058856340966,-0.3941774888146412,-0.23792823495573773,-0.20807881561259506,-1.0533127929033097,0.18891230338084014,0.06086725239908901,-0.0033044273848903422,-0.8487488347979909,0.5905069307850848,0.0,-0.35452072474139,0.5913036180618643,-0.1945930050917529,0.2798819052206123,0.0917755616864721,-0.31525260989635306,0.15364815016802044,-0.5084387304485509,-1.000202834925627,-0.7221967299787112,-0.4361840388278097,0.044808509012186054,-0.16661564354035993,-0.7125907378622454,0.6296092979092887,-0.2978179943346353,0.689856432607055,0.06106567245145472,0.818779536615112,0.0,-0.2516552530645523,0.040878997464453753,0.10211060930289978,-0.6365194266326216,-0.6534966940427872,0.0,-0.36046120050745106,-0.7382438007123104,-0.24829543899690976,-0.8112965678248871,-0.009225796789691085,0.7848902469286753,-0.33242288513813834,0.1377394516554989
INJ,0.28884932326721263,0.5058906864008509,0.1280817276203521,0.16953965847409957,0.61041334825589,0.4356135702299567,-0.0,0.37968672056763014,0.3335557400327551,0.0,0.4929928150321281,0.6307074338869109,0.6246805288247074,0.22056758621700287,0.5903164905566309,0.6130427628521775,-0.06453400754964425,0.5187657509729506,0.5064156581125707,0.790835537913394,0.4877644652287112,0.0,0.9474580584932761,0.4048244313419685,0.8533043605134543,0.4044147240984292,0.5029968278910899,0.39852233027533607,0.7901078519300895,0.4781184230536821,0.4673162381676343,0.40228597808457245,0.6616336380827331,0.8046602451382932,0.05626728525029279,0.8698150922612,0.6058965604039105,0.0,0.22323947099875058,0.572092933332651,0.43671312015168445,0.21115105349567018,0.4125250026364643,0.4214079512581903,0.21067221829017455,0.6918102813559878,0.6189386480849735,0.6337023905873133,0.534350153989895,0.3022552344938562,-0.037627594632663325,0.5892563112393479,-0.15236034001148946,0.4061208909355113,0.025207626579127312,0.4453608002186843,0.12600422517866222,0.0,0.7162574482530126,0.35564907024947195,0.10200640287989438,0.2812365604175178,0.21694681524227993,0.0,0.3602166271786645,0.7506987739639663,0.6548947709074657,0.8671989194943067,0.34649409287729116,0.5356631479700535,0.26075721811662106,0.7352552226902082
