,ROSE,ANKR,VET,NEAR,ETH,EOS,BAKE,GRT,REEF,INJ,FIL,MATIC,BCH,IOST,CHR,EGLD,HBAR,ZIL,ALGO,DENT,DASH,ALICE,IOTA,LINK,XTZ,LRC,ONE,SXP,KAVA,AXS,ADA,SOL,ONT,ETC,MANA,SNX,ZEC,CFX,YFI,WAVES,LTC,CHZ,XLM,COTI,DOT,OMG,SUSHI,FTM,BNB,UNI,STX,RUNE,THETA,HOT,1INCH,FET,KSM,SLP,CRV,IOTX,BTC,AVAX,ENJ,CAKE,XRP,TRX,ATOM,AAVE,DOGE,NEO,SAND,QTUM
ROSE,0.0,0.3505153683804011,0.3653335518566815,0.23011730317677503,-0.04573201736245874,0.29131666139131523,0.11861204609452222,-0.07097931978408914,0.17877276735225597,0.2789674478195019,0.227445328313172,0.05630859552755562,0.33228368524062346,0.3595391357099482,-0.2517791687253411,0.09301637075434396,0.09474384469734284,0.26557369246590645,0.27253656506997026,0.35108486601288647,0.32186090527640887,-0.35922202704303957,0.22524164732960417,0.09493128192705826,0.057031052311711454,0.17156093873743086,0.23573213114946767,0.18403104967386696,0.16666804589908985,0.12068733448564256,0.2178413080784059,0.15437977500331357,0.5001150037716295,0.02896227825669561,0.23786582789822464,0.2851597636035484,0.4879055068478385,0.34148431030591675,-0.0095189713371139,-0.03527087245125126,0.2582693528153081,-0.024472544193109597,0.34209108300365165,-0.026318273159829667,0.28334770178724866,0.14079377097411522,0.29625563650551906,0.0403134962874972,-0.09225567596878981,0.34136983249558395,0.08286612915514983,0.09333158456472013,0.07275393241568716,0.389637927762421,0.2411303628510579,-0.035498951264937274,0.1842461364557469,-0.22727976241666759,-0.28082283605130554,0.633144668895509,0.16094784529090983,0.17247992336600457,0.2591720546080519,0.3614947394316422,0.05010782315301267,0.09322060345753877,0.34335171571669665,0.010762992285328885,0.21801753944649002,0.3429405501084432,0.1473515940280712,0.37805909962639683
ANKR,-0.3505153683804011,0.0,0.11301420337857974,-0.25326329161526095,-0.3479366193125866,0.02027495314861903,0.1646110439501288,-0.5123633715874483,-0.13493088192406472,0.0024457256863646033,-0.00019546376267309817,-0.30473607178515716,0.30082131284421587,-0.06430440771056067,-0.054445510549965485,-0.2514676742786104,-0.3424621979631115,-0.11877144733092707,-0.07605603692242455,0.037387225801301806,0.21012177315065791,-0.02357579629023858,-0.32892977971485615,-0.2740755780630809,-0.41818596150209925,-0.1351845486721236,-0.1994662813640862,-0.09591263392294642,-0.0332731610360434,0.011317501748908231,0.08059483927002233,-0.1258683460666716,0.2319204623459587,-0.4588529296754036,-0.05511430334853132,-0.3620952073260427,0.09520036145539434,0.39733609065161873,-0.3170667460031906,-0.2848883368126799,0.21206689178315546,-0.1592233977941178,0.056514176592425344,-0.11404252122654293,-0.12065587573646563,-0.09835810871131488,-0.16876433706245003,-0.3064214347840274,-0.309883396631494,-0.1794789181665879,-0.33731406555990856,-0.23214212595857847,-0.11748557417104831,0.1283968071517529,-0.40117741402500506,-0.31061831625413494,-0.18267042006572837,-0.3030126737232377,-0.6167383482597599,0.30696503586865215,0.1611551971833491,-0.07433642860881569,-0.00774290893197338,-0.10383491582479745,-0.009576921571778058,0.38850517294744247,-0.06476410232725396,-0.47344376550659206,0.02778104372455832,-0.04095902129000575,-0.044104993932942906,0.1593209329861181
VET,-0.3653335518566815,-0.11301420337857974,0.0,-0.2821000478806843,-0.4064418391201816,-0.11489863699111413,0.13215652038067424,-0.5940885769615141,-0.20663556390915871,-0.020240558134986056,-0.002852015446427967,-0.3671288349992922,0.22024379028688865,-0.16823664308914874,-0.176913262823254,-0.36794598550705787,-0.45434252341213377,-0.18977643630250118,-0.12477008351182373,-0.1429938663121737,0.09298530613107331,-0.2715771521963888,-0.3479309803535026,-0.30754419755923956,-0.44947382809939107,-0.24943322113865865,-0.2855513257365839,-0.2203900349074437,-0.16189428737420414,-0.16647772790301651,0.04436980793174018,-0.1650154554104473,0.1420060650308521,-0.5756301651236341,-0.14685022862637614,-0.3487809422278546,0.15765814735006559,0.24699443572334664,-0.35674871492500104,-0.16581664618544167,0.08216405260563157,-0.2512025685497427,-0.043752433435529314,-0.1823846327435413,-0.16279486466368492,0.035592593434768866,-0.23418569520711705,-0.32345919651124266,-0.2518415423095879,-0.1795186702642393,-0.37465115578773284,-0.3208576360427832,-0.2147106386579638,-0.05507824063905262,-0.38163942983817484,-0.4075515835142799,-0.19486386697831057,-0.4847762681514894,-0.47570017757585026,0.24690311415335742,0.15555521988238627,-0.12221200360892967,-0.08928553769780206,-0.14778149157677148,0.0381738149011627,0.30577496821116823,-0.1166633857315373,-0.45124029397905896,-0.06908555608330781,-0.15588254446650981,-0.18678715850915853,0.0395981850926803
NEAR,-0.23011730317677503,0.25326329161526095,0.2821000478806843,0.0,-0.1073699142550347,0.2288432229832801,0.3408395929823701,-0.25045448738496484,0.049571620865873384,0.23317545366622494,0.25199116695055845,-0.09253070163979256,0.46621805947027484,0.1575523073182393,-0.0982040368109218,0.05884085398491773,-0.1466566814336575,0.12934056501538915,0.10903833946914168,0.2546499455257873,0.3573095607708189,-0.12450821947105997,-0.07288205463755863,0.07569861029290996,-0.26579560997620894,0.11135552405067828,0.015336352167807654,0.11105383741328,0.17598782989097586,0.1889505972616064,0.2291401314271636,0.2030543485562285,0.46600142335964817,-0.20332976340048245,0.11477358040799994,-0.040085057738651286,0.2833864701154156,0.5249573235648193,-0.22632508783032654,0.011132683404720678,0.19875347340120478,0.04490956287787006,0.18557475382784347,-0.014135106171280559,0.19382765729197207,0.1514717368497867,0.1598640331865004,-0.10606328138041722,-0.11284977399505466,-0.04368449099389058,0.018790422196113807,-0.055279744670194385,0.10570895191861057,0.3709799538109492,-0.13599190934462618,-0.2176624628742743,0.044724564799842124,-0.13706631945186581,-0.4045963826632195,0.5183767152352217,0.21973435679003295,0.011264022569294548,0.28024823411323907,0.13981442907431113,0.1374126131531196,0.43395520556443934,0.2180669860591115,-0.25060675783033826,0.228301494212294,0.1994394818349537,0.08302775354485017,0.3395414189972215
ETH,0.04573201736245874,0.3479366193125866,0.4064418391201816,0.1073699142550347,0.0,0.3972748602263328,-0.2647107723376901,-0.16238621045903137,0.1409888618841893,0.15529893257428576,0.14887983041205077,0.20795375426645968,0.4778971870633027,0.3209571660970548,-0.02545646896140606,0.0958234285984002,0.03884436491549406,0.21089569765898328,0.19585686675747396,0.3441859512232543,0.3284678194566061,-0.06887270263668178,0.14713898935162956,0.03354515640720784,-0.00596523584720976,0.054962060115759964,0.20835141119540945,0.1895082251047717,0.32088889305079527,0.17755978452128687,0.29909444469145735,0.06185514928807467,0.41730943291298045,-0.08329759138269088,0.262216002152579,0.12790348412767535,0.2966106937882547,0.5382072500752634,0.0748711185481529,-0.08507825686362017,0.35856631291324026,0.11066958386193415,0.3607746742271316,-0.016438136759990646,0.31404747159286434,0.19590972669240048,0.17242960161207202,0.04661284646154294,-0.2645773697574637,0.0032872255441976778,-0.07389051273815125,0.08539531121678076,0.18714657687524305,0.4205343325998908,0.1175453605445483,-0.0887464160755977,0.09081134298582241,-0.02957435886269283,-0.07718437938877233,0.5846635715341736,0.2801791460294528,0.13863101642550607,0.3520938197143467,0.15217040672994628,0.21597007429116,0.3266814724214345,0.420799662452153,-0.2007792210219724,0.20933464442666563,0.22059787417440138,0.2256280313993899,0.4069153687757309
EOS,-0.29131666139131523,-0.02027495314861903,0.11489863699111413,-0.2288432229832801,-0.3972748602263328,0.0,0.11082310887781127,-0.5658284524047703,-0.07765931691530203,-0.0797814475896982,0.0003731463927705639,-0.257985430723765,0.30251417864496155,-0.0844428565297932,-0.2680697570086164,-0.22892510281608333,-0.2953824722049657,-0.13535647699727507,-0.11710838220544637,0.0524918425983128,0.13045629025742828,-0.2522686083334019,-0.22437014834166616,-0.25397470295590363,-0.3822085936723048,-0.12790400253844852,-0.133810658823615,-0.11345617817752231,-0.11565144606377908,-0.10432792647330741,0.08593704764643538,-0.10029509588974436,0.216001233916101,-0.4625902886204384,-0.09170531885994124,-0.26678506260395357,0.22100209279008345,0.30675802139436037,-0.20398707075808878,-0.14001077609753113,0.15330135687880173,-0.2194028417224683,0.06458057253811733,-0.19483773900859339,0.006670217440578073,0.00019830982925342355,-0.09023783821108622,-0.27345891554952806,-0.1742880085499971,-0.08634342651592514,-0.1619544335828045,-0.23351345883141594,-0.16282447476019923,0.11442589899426235,-0.3148551648605812,-0.4924423704577764,-0.10317756322719006,-0.3176675638649438,-0.3137471330619969,0.42892522796536936,0.162100029729359,-0.07976213596853647,-0.004795492432671411,0.05902048946985891,0.12474981503629262,0.24321390137854038,0.001898840974870409,-0.32361487529637933,0.011623862912502614,-0.06565467247069107,-0.16274640248935418,0.10290809054625086
BAKE,-0.11861204609452222,-0.1646110439501288,-0.13215652038067424,-0.3408395929823701,0.2647107723376901,-0.11082310887781127,0.0,-0.3873360975140312,-0.1835112074377052,-0.1711068914542183,-0.10365563655328743,0.04272956027596339,0.23295223835435094,0.20625692090057723,-0.2504511521804085,-0.06247555234648787,-0.17847589373461822,0.08672220814049857,-0.263905793989424,-0.022758985827460373,0.04405626885832531,-0.3137518269500137,0.00957560594913795,-0.16932089633173691,-0.05832457444805417,-0.06563673641608664,-0.09924508280508677,-0.11325581981065237,0.02701895106998327,-0.010965709086512523,0.13582805800825729,0.04423952965418991,-0.038858046616922354,-0.19208915102289076,-0.08175997221242927,0.007050262089486017,0.008745578134809827,0.06844556924608525,-0.12383565219184284,-0.0423576327442652,0.2751403842205235,-0.18893685926852516,-0.16503878249973405,-0.28862781527418646,0.15730733939175034,0.17349349664771382,0.015346998310910548,-0.07543528762105357,0.053940949226965615,0.23168899256761527,-0.19837309402377667,-0.15757007703542808,-0.10958025220684484,0.03263692708775749,0.3199792479937379,-0.5094430161529157,-0.1065220060937352,-0.09091707570113666,0.007912677277445407,-0.05819471714364117,0.3073320439635715,-0.49687820599299104,-0.07388183003421951,0.15925852880328084,-0.008380691360575981,0.079055664517812,0.041255128412371375,-0.3121481437879304,0.013788957554625591,-0.09518758883347704,-0.12004813439725764,0.10430772160509423
GRT,0.07097931978408914,0.5123633715874483,0.5940885769615141,0.25045448738496484,0.16238621045903137,0.5658284524047703,0.3873360975140312,0.0,0.3754224143157518,0.2918425944630027,0.48829851900077054,0.2203899594746104,0.7149219137828062,0.47101766827210045,0.23291274201370987,0.27267847297118913,0.10964137736949428,0.40170038586943446,0.397262093791369,0.5034493250333368,0.6039996952565654,0.057331219979867655,0.22245870475657137,0.2544110720410913,0.002307377964454141,0.3398094466087671,0.3064491899932591,0.4355173375062768,0.48111558540483673,0.4081034244129235,0.5062196926515785,0.40568995571679717,0.7257268133134052,0.1417947830969941,0.4288139924735018,0.21642195772903003,0.5275267183371086,0.7911299541319854,0.13202826371918353,-0.09683273926917188,0.6363566587085416,0.29511861781624815,0.5639199445218853,0.20659446982846838,0.38334590303858657,0.12432256944796763,0.410137553671767,0.09718829052916486,0.0049776979695742365,0.2930278631961575,0.10522484123921391,0.29649350511205474,0.3747506937547094,0.6136138446750583,0.03865325365639999,-0.00861774133113128,0.27119953856164375,0.042055512495664645,-0.24134745532260815,0.7292597091554055,0.4827522691471815,0.36422520312242845,0.4572280319585744,0.38218126103426364,0.3441523090640884,0.5464740423195752,0.4520691848753036,-0.1454664432568279,0.5229198741841659,0.4793510640813516,0.4164880271627407,0.6524287081191011
REEF,-0.17877276735225597,0.13493088192406472,0.20663556390915871,-0.049571620865873384,-0.1409888618841893,0.07765931691530203,0.1835112074377052,-0.3754224143157518,0.0,0.06702473354155809,0.13445258784786984,-0.13980523258503172,0.44079685423702275,0.035840858829968764,-0.238250819140763,-0.05531288616956523,-0.19647124294881185,0.06146848728834959,0.038865992210110556,0.20458375423022085,0.24470538324928964,-0.3441027507906223,-0.04020675962932368,-0.07549262629051023,-0.20896975131236947,0.007226001911149249,-0.04302060322246025,0.005722909067598453,0.024611001534462676,0.020903709720170055,0.15997087617204883,0.09089109504896974,0.35429269273906616,-0.2591117240249091,0.03457398192867091,-0.022361698403338688,0.35059829500965867,0.2776472584310529,-0.14264099253482274,-0.06611858763068526,0.16101146542557104,-0.08212217651223341,0.13890560970607674,-0.14737581720685192,0.12076313474362552,0.06616233965866641,0.09560301962537456,-0.2001267104239302,-0.01081326778988427,0.062254548938087836,0.042211500538968764,-0.10229953350667298,-0.03013608410929497,0.27123131278387647,-0.11910089953447842,-0.3651768353641016,-0.013959286201445514,-0.2312509555052888,-0.21790685676662325,0.5544284263156025,0.2696539787016238,0.02321264884175002,0.10325490061258397,0.25411561319236664,0.17072360948117327,0.23666817134379875,0.16685296269225075,-0.17519088459594853,0.09666301714476555,0.07774972166504669,-0.04194415632828387,0.23062943624206983
INJ,-0.2789674478195019,-0.0024457256863646033,0.020240558134986056,-0.23317545366622494,-0.15529893257428576,0.0797814475896982,0.1711068914542183,-0.2918425944630027,-0.06702473354155809,0.0,0.13912654539397287,-0.26223045342958007,0.25895391823628844,0.09745323584929902,-0.039298130277675446,-0.20052403444938083,-0.23396873284644773,-0.04836719916454109,-0.05724814157387618,-0.03676898111448268,0.1853402519847926,-0.07631073243128955,-0.20641572874310696,-0.13576305027879804,-0.3444269399979506,-0.09729946693904001,-0.17359293224867337,-0.10577605508935492,0.02340911778388908,-0.008664594462304082,0.16528899804913988,-0.03238153574923655,0.1987510055688325,-0.15028570821516873,-0.07460158941432961,-0.2562273577148126,0.047402653365711464,0.22946353817747805,-0.30406765330731694,-0.19502826010707158,0.29582692807256117,-0.135391220430664,0.11624469317163992,-0.07433146314474703,-0.08861636317599547,-0.09570250991025084,-0.025416574897078652,-0.3083381196671727,-0.17825644762513013,0.17042517232596519,-0.19651969934740773,-0.16028592100645506,-0.10186986456382247,0.0512693340330803,0.03807762977799317,-0.16707713084219655,-0.15947758728321632,-0.335611742106279,-0.7181380277405504,0.20380122338289783,0.20382870772060582,-0.18780710292182567,-0.11164483747999232,0.005397146599404098,-0.15264718619889608,0.3735045799071051,-0.09929917741584365,-0.2707990242839263,0.06892865393047679,0.06258477416357859,-0.054903435927510014,0.11535701215612237
