,ROSE,ANKR,VET,NEAR,ETH,EOS,BAKE,GRT,REEF,INJ,FIL,MATIC,BCH,IOST,CHR,EGLD,HBAR,ZIL,ALGO,DENT,DASH,ALICE,IOTA,LINK,XTZ,LRC,ONE,SXP,KAVA,AXS,ADA,SOL,ONT,ETC,MANA,SNX,ZEC,CFX,YFI,WAVES,LTC,CHZ,XLM,COTI,DOT,OMG,SUSHI,FTM,BNB,UNI,STX,RUNE,THETA,HOT,1INCH,FET,KSM,SLP,CRV,IOTX,BTC,AVAX,ENJ,CAKE,XRP,TRX,ATOM,AAVE,DOGE,NEO,SAND,QTUM
ROSE,0.0,0.2421252205557255,0.1643799514995101,0.1264602360878014,0.029224341679691873,0.18754214972482444,0.1014484320842093,0.008146022522972918,0.13517518276633655,0.2628825963351332,0.1638852474830114,0.03466529785703726,0.17253374075425965,0.26487003777851476,-0.18520788246564474,0.049442541519577804,0.08034421980673909,0.15922280760543625,0.20343407727064236,0.26562135866019015,0.20292150158041075,-0.15172857984689755,0.17188248440994275,0.01848239138741567,0.03548588865512081,0.19712472796195132,0.2456113623180267,0.15262989040162395,0.05000318772622134,0.08092594349295155,0.09020763278278428,0.14830683670619055,0.2636922515279173,0.029570703423489428,0.15029129292053706,0.19119294052829183,0.1784321073664767,0.26388385069547143,-0.07040794742806153,-0.03971331483916288,0.08333227423237623,0.12238985223336965,0.19446838260337426,0.11475970564677304,0.15497812093151103,0.1035070701482442,0.14569248726821815,0.1612811279435327,-0.0035272689371754623,0.22495644290226446,0.043030375880901486,-0.07895957746526071,0.021301055141189087,0.2673131480148094,0.11183379787333658,0.027342262093792535,0.07945499417024904,-0.09590916090006699,-0.17482643740946702,0.4248603051579578,0.013361869428535372,0.19614859035536317,0.10081680434897716,0.3260818104908439,0.09156948320817326,-0.07577875569044251,0.1503179244903051,-0.0007044386800700575,0.15087362758658446,0.17011308380803003,0.10442650427853906,0.2779969952695411
ANKR,-0.2421252205557255,0.0,-0.005611528255248646,-0.10635743601565224,-0.17835264434991324,-0.022228726331825585,0.09195466617545946,-0.17703592873931556,-0.09026222191865405,0.05830813825200218,0.0018547207298806045,-0.1901868696342664,0.06256553250872997,-0.053090071385596335,-0.13848817658308166,-0.16671799444662427,-0.2035045019194672,-0.08933965907091301,-0.04719275236556719,0.024493373127908183,0.0724010914872358,-0.04078903180567834,-0.20954911245957175,-0.14140694185072183,-0.2578129577799981,-0.05411488623509829,-0.0655146663420573,-0.04373114704776272,-0.06624283308118831,-0.07728068167123929,-0.06514669446446357,-0.04160093272801901,0.11564438902164365,-0.23031989781030834,-0.08178895855099708,-0.22173493327335028,-0.08630575342568933,0.28827895408550946,-0.2701145188793019,-0.24921128374139573,-0.002434955151628254,0.016400126854856346,-0.027009898650318498,0.008220880628755513,-0.13101287697408437,-0.07400469370604541,-0.16911160418962046,-0.044391224107062595,-0.2085361840273647,-0.11474616801511757,-0.24331189265759953,-0.24012937947849028,-0.08537718618492789,0.062472000742910774,-0.1577157554862075,-0.13852831631791232,-0.19492853733993376,-0.19999422836351288,-0.4350047889849723,0.17824609657132473,-0.03044861974639218,0.02568245008660696,0.03371222796268161,-0.021729929591091993,-0.03195836328176882,-0.018445308912114697,-0.038260280077397166,-0.29789410526488913,0.06398055255350416,-0.05647845528050473,-0.0559166385758938,0.14290514930422055
VET,-0.1643799514995101,0.005611528255248646,0.0,-0.08465875624541305,-0.08893483014267611,0.027243955278265373,0.14124835371819,-0.13547487438790687,-0.04526524893397843,0.10571041349483805,0.13867438529391446,-0.18311677124853862,0.09778092165050162,-0.03656179469849703,-0.14975970325784288,-0.13009015486522413,-0.16528676704185513,-0.012379082766720936,0.03639780716814451,-0.0017308882594659104,0.11194361675862233,-0.1688910629120764,-0.1073480231916572,-0.0765214469862175,-0.19171327266091306,0.013802723600524463,0.0073056366721741,-0.03761207804292337,-0.05998959774053556,-0.04714819335634572,0.08026385415588512,0.0037498321158960513,0.19813196402018549,-0.23383083571387597,-0.03738910984792784,-0.13546008321869846,0.01764675175988415,0.2870729875368731,-0.20580371759205102,-0.126795813826586,0.03599033622643573,0.03370824985780488,0.014498069013148748,0.07538828820224991,-0.05301706044298703,0.0840412681939858,-0.0814297339490658,-0.030774305562601596,-0.037487261109832415,-0.06374949773506636,-0.17623040543712679,-0.1421848181155106,-0.03656438203000171,0.0711528456317715,-0.00844313818928337,-0.13995803331096351,-0.09218871716483835,-0.2337941411855393,-0.25115943240501654,0.24041001726118189,0.07445169759495553,0.12136554683119703,0.1255724316367032,0.04541090098012706,0.0649402214847401,0.05821705568762897,0.07660005514256692,-0.2503219459826057,0.1159735663987855,-0.029928987423893813,-0.037579050215254484,0.18020737771258827
NEAR,-0.1264602360878014,0.10635743601565224,0.08465875624541305,0.0,-0.021880341328519376,0.10991507627780021,0.07759413725365552,-0.006665258354301179,-0.05191424536538955,0.28486722626013844,0.12249466453424232,-0.030175843770481228,0.12867092606866135,0.06993903928357866,-0.105460069436382,-0.009606531603175233,-0.035621020361274104,0.02049141398621518,0.0035905686902839573,0.08255450450297519,0.1452577532942835,-0.1421638117493203,-0.06629818129490404,0.040441783377867,-0.1753877016878487,-0.010608464744556827,-0.04350880217709267,0.07881651006465028,0.05146415218098905,0.004596986513749637,0.0630128922202596,0.18601663280308334,0.15543565794876077,-0.042366144735909834,0.010841314244031855,-0.007001677092693684,-0.04683222129146564,0.28733285371158956,-0.1775843162673532,-0.038734079255202336,0.05280833448060529,0.1576776709621643,0.08233999240394677,-0.0036991680917191003,0.10257415999884383,0.08566630820614941,-0.055909712112324705,0.0549900217225459,-0.09856775241008632,0.006800118471286878,-0.0554558463118439,-0.10724788234845388,0.08839843284901219,0.12134639348616559,-0.002168687767117261,-0.02222964340863219,-0.06518429187831967,-0.11923355980048864,-0.2952748252771906,0.2689964640421344,0.005524204005452477,0.05973399882834838,0.11588142202292281,0.05211855166308945,0.08157325284507733,0.02562708012821583,0.09069967457358985,-0.08420205365615438,0.0996601997753966,0.07264594325469569,0.019567829679780525,0.21858938067584607
ETH,-0.029224341679691873,0.17835264434991324,0.08893483014267611,0.021880341328519376,0.0,0.22061845292604915,0.010947250091543556,0.0761649012246239,0.11420501389018162,0.10008619749888807,0.15275912746660936,-0.00521748462990182,0.03361042927267284,0.1619247121513416,-0.12465001529665473,0.09920414714889339,-0.006290589263378471,0.13134622305254728,0.1474258391533772,0.1677476422345478,0.14561964821983647,-0.010145278495494146,0.13032443790480758,-0.08314695950656502,0.04208856456338671,0.23783390108246444,0.283286570580927,0.10079911186234844,0.10958652973297074,0.14680659410011965,0.010073304452204113,-0.03273382848101081,0.1790328121569845,-0.12774883651192204,0.11013966919578723,0.030512781925777846,0.027390027047539317,0.25301937360969057,-0.04729512373216131,-0.068733517246944,0.00022919033769613906,0.08569105159106988,0.0931221445599211,0.18479819667930875,0.10566261873880224,0.1219435243737031,0.05128738762215071,0.08687823920521312,0.024943996753893454,0.013101828055060084,0.044987274626969054,-0.1419063622880662,0.041224477888991015,0.2600336267953437,0.1861500300422124,0.097537410136818,0.06118378362364507,0.09186196136133049,0.070958529025813,0.2345076925422825,-0.0489280612515304,0.17536795726957552,0.3440189404854753,0.1916644444144873,0.09579582449905945,-0.0036033746912424447,0.18766961674401467,-0.13847110086023862,0.1575631647126904,0.025427971192974852,0.13215892035961213,0.2856879915558953
EOS,-0.18754214972482444,0.022228726331825585,-0.027243955278265373,-0.10991507627780021,-0.22061845292604915,0.0,0.08937910204413735,-0.16977188863071227,-0.10370729840406911,-0.01942696649439453,0.048985721797579096,-0.24489100647306136,0.018725914977029065,-0.0716482746625209,-0.26777733227040856,-0.1861572826188408,-0.11878325537428648,-0.089295555490355,-0.02330657794417231,0.02576504658853522,0.035355684786884,-0.13541483582713382,-0.13164903814107928,-0.17919311859704018,-0.21730521121572643,0.014167655562843585,-0.02674541982425236,-0.04441529658369905,-0.11112185931259386,-0.13941166347106948,0.0021737752076694122,-0.05769639435811397,0.07437704445171882,-0.40204887446558846,-0.08969575984058874,-0.1648719689853427,-0.14549989148194345,0.23035239836574398,-0.19827886635229203,-0.14204173239461462,-0.10428943557800595,-0.005985556984618681,-0.033472148867407014,-0.07218760864031311,-0.025756999006725022,-0.013154391118190709,-0.1301356955187666,-0.09575486140992905,-0.04618856329530753,-0.07478318619839597,-0.11367560421510214,-0.2755617380100229,-0.1204063690266812,0.09765502233486328,-0.18813950205255414,-0.2294537453928051,-0.11877886067309529,-0.2190260247086518,-0.23001911998260632,0.3045409862950203,-0.07457204201781716,0.030251702062395917,0.13441877424426985,0.1348800730297699,0.017433210864627458,-0.05979189614043861,-0.08833824319698348,-0.27721893334150416,0.0846214192870247,-0.09679834835174585,-0.1103585440127882,0.1349576719247533
BAKE,-0.1014484320842093,-0.09195466617545946,-0.14124835371819,-0.07759413725365552,-0.010947250091543556,-0.08937910204413735,0.0,-0.13114796090344555,-0.14280059203463155,-0.07537168609600081,-0.057544974450026876,0.024234697651601425,0.07084112966107889,0.1384561452260593,-0.16811973700268348,-0.06148598341688177,-0.08565226872383855,0.03656848944386512,-0.164019732150669,-0.0052658206818856235,-0.0014803199056153942,-0.23088416161458875,-0.0162200241257784,-0.054780136322491874,-0.06340417141337176,-0.08434293419050479,-0.053455777611644106,-0.03274062709111383,-0.007212837176109384,-0.02977157470810722,0.021091466187400293,0.07291548369999246,-0.027588433284446115,-0.16028471358884328,-0.08113649689630459,0.009163144850774282,-0.07087880090340468,0.06924565818624209,-0.16784113351508315,-0.05709962400661994,0.06357446459323153,0.011042348851104791,-0.1384338576406435,-0.1910083719279354,0.08021778565075702,0.12539887591232815,-0.0026309337781272035,0.09140340634431501,-0.0020090625897730436,0.14986856183629021,-0.1680573451864597,-0.12238045860669998,-0.08835239838569083,0.013567711699763813,0.18584529055147164,-0.35682002970769133,-0.0968884667846314,-0.08115341751996027,-0.033361367436535255,0.021826555851525292,0.10480479846524356,-0.2801639396020999,-0.06258470777390868,0.14870792201442953,-0.011941830492055522,-0.09019037645735856,-0.014830487374436818,-0.1926409440428117,0.054879874581486195,-0.07463736736724633,-0.0937970283566541,0.11355065088875012
GRT,-0.008146022522972918,0.17703592873931556,0.13547487438790687,0.006665258354301179,-0.0761649012246239,0.16977188863071227,0.13114796090344555,0.0,0.08194882024008167,0.194121977233437,0.140598180688067,0.039085834730570534,0.13342772921351365,0.1388136841335459,-0.090070077770008,-0.0033623640466748927,-0.041503436294551,0.06615812304098741,0.09049865542531238,0.13542223149204335,0.17636812049420814,-0.05027827427341831,-0.012902902586341372,0.03298684790836782,-0.11219113672922108,0.07233987919594946,0.05551217043532175,0.1302656326044307,0.11834099691055766,0.02318063701974689,0.014618313593775425,0.13538833651467153,0.19525834722061297,-0.0418525579321915,0.060824455053888477,-0.010536740784923365,0.02837005631243808,0.40137139463216004,-0.10056518760365207,-0.16255287967814158,0.11499212138104217,0.14185364090825112,0.14856712602558805,0.06699725134201745,0.058495652785899244,0.0038084073736576463,-0.05710293530710685,0.06048289730771133,-0.03217819009992175,0.06022989430647305,-0.04589865402443147,-0.16488200855967097,0.06398516547360171,0.20532681991618693,-0.01720124968725914,0.049543779372259684,-0.07002341696264411,-0.04145269675154459,-0.2142920857155506,0.3307396384147019,-0.04666789292120224,0.12778243251297766,0.17144154444805143,0.20487992545478617,0.057784888352384156,-0.10572043124356431,0.10399415750352187,-0.20878656611766275,0.0796581375619799,0.11557935840062085,0.09970606563450995,0.30037479389579635
REEF,-0.13517518276633655,0.09026222191865405,0.04526524893397843,0.05191424536538955,-0.11420501389018162,0.10370729840406911,0.14280059203463155,-0.08194882024008167,0.0,0.12097453819732135,0.11532614056130228,-0.14488475926888617,0.15918769813781766,0.06923631851971385,-0.15820242725331526,0.013172789988488094,-0.0705194578465901,0.0506167736361894,0.09388765048205237,0.16554869437950126,0.12988769597703315,-0.19201533131200538,0.009211152652582613,-0.03485610480604835,-0.07020012366374277,0.09128436536397805,0.0903217267738862,0.08968592980222254,0.005404674329181792,0.0552891937885394,0.007970449263986892,0.055211157075757564,0.22137584926366746,-0.1847263251161383,0.013247108254104807,-0.020146627016812163,0.12714700715985902,0.21072590270017205,-0.15356880498298467,-0.060203272773146216,-0.03098340690388892,0.12381049085126905,0.05027421419481551,0.0479130814236378,0.025453067108951136,0.06429351037004527,0.0319968727536694,0.06425542974795106,0.036581553877732986,0.10345882315935442,0.011931377051522182,-0.12832564368782784,-0.0349241128560489,0.1489202358432113,0.11083209356190961,-0.16302735317353104,0.018447883765805626,-0.10297523691393352,-0.07937223243820507,0.33725017251169853,0.03251657421614121,0.10935380770856115,0.11077894118190394,0.2206725131733417,0.14141215013832706,0.01230592145325303,0.10271943866071793,-0.13809722113144532,0.170231063995888,-0.0028655955698444063,-0.005693742394168262,0.25535042745350367
INJ,-0.2628825963351332,-0.05830813825200218,-0.10571041349483805,-0.28486722626013844,-0.10008619749888807,0.01942696649439453,0.07537168609600081,-0.194121977233437,-0.12097453819732135,0.0,0.021111419093351305,-0.2619919403827202,0.04235492918265392,0.029824446289348716,-0.12315989608840783,-0.15253684880783552,-0.2613418168244792,-0.11153052601353286,-0.09800344346680509,-0.11562724915468116,0.03482845925023634,-0.14270469722652968,-0.19896667252884592,-0.23061664090639322,-0.2407615457740321,-0.07670380841596552,-0.14268585728604577,-0.08058426039931214,-0.08470874678327256,-0.08348022729400517,-0.08392707201618865,-0.1196404972798518,0.033543880208537685,-0.1358903790344751,-0.11323067262794334,-0.2855978589869971,-0.10074163600274602,0.13129062309667153,-0.25520556555857205,-0.22835774076888857,0.11801917930907377,-0.05487663884747861,-0.00825762873661176,-0.04675150317245579,-0.16821472417851882,-0.11541221655810419,-0.17259626805608966,-0.21901436333366217,-0.09119715577511824,0.10340078060297762,-0.1299508519204815,-0.2914745831435282,-0.15346559653402528,-0.025273625742707848,0.12516088744242435,-0.10844299003453298,-0.1989285878943396,-0.26827209076314223,-0.4856383833002688,0.08729342278981587,-0.039823479302984854,-0.08648759060142662,-0.04265744624760811,0.02007411927685447,-0.15464077444909952,0.08596211028998571,-0.17277476541811249,-0.2526023684250077,0.029736654558442835,-0.023735005678654622,-0.08890716229245602,0.08565429872572734
