,ROSE,ANKR,VET,NEAR,ETH,EOS,BAKE,GRT,REEF,INJ,FIL,MATIC,BCH,IOST,CHR,EGLD,HBAR,ZIL,ALGO,DENT,DASH,ALICE,IOTA,LINK,XTZ,LRC,ONE,SXP,KAVA,AXS,ADA,SOL,ONT,ETC,MANA,SNX,ZEC,CFX,YFI,WAVES,LTC,CHZ,XLM,COTI,DOT,OMG,SUSHI,FTM,BNB,UNI,STX,RUNE,THETA,HOT,1INCH,FET,KSM,SLP,CRV,IOTX,BTC,AVAX,ENJ,CAKE,XRP,TRX,ATOM,AAVE,DOGE,NEO,SAND,QTUM
ROSE,0.0,0.3297055669722425,0.0872564688172995,0.12909600792249556,0.20678705015388663,-0.22613300119583904,0.0,-0.2522048421498751,-0.18978482399858135,-0.001665469271940473,0.10369299461265233,0.024965627389934006,0.13499000415422113,-0.06970694968876609,0.023440405311529175,0.1474965988234444,0.1352046878593438,-0.013086386950294921,-0.09072818886153347,0.145800911442582,0.3580514330540757,0.0,0.07288079529202443,-0.11178280563718804,-0.17432875086030863,-0.18206674468581965,0.17984115697537492,0.3693027155191556,-0.13316071796289264,0.32206665347411345,-0.33117944137642774,0.2617638895245294,0.038838357722446634,0.02181987566759966,0.08978120667725624,-0.0560433749040454,0.07228211053270783,0.0,0.3895649098423509,0.3159902366997756,0.22443763969331765,-0.0796507857015121,-0.21723820200173777,0.4044125580709502,-0.24889677680220723,0.10389641268904003,-0.07429491624595339,0.12207030240688002,0.09546566078553065,0.05537201633011685,-0.008792605991748553,-0.17823837396382297,0.019052097912280255,0.14152791493448288,-0.13962061421172514,0.12317939167801721,-0.18365921533424429,0.0,0.025124963781723374,-0.3276702358559119,0.256042785527235,-0.6056585200980449,0.2551299605291971,0.0,0.21040453341588544,0.21157257882922254,-0.35230572700651963,0.013464714581719252,-0.13050850716860157,0.40296913600625806,-0.3405460450589983,0.10570477650508267
ANKR,-0.3297055669722425,0.0,-0.07616721208912647,-0.03887155208979248,-0.3832867031869611,-0.30246503249973555,0.0,-0.24100582285516525,0.21755698825569314,-0.5925245217899945,0.07417677562601493,-0.03323945503981071,-0.06782969690595925,-0.16459131822131,-0.5025071859452779,0.09137712415656611,-0.22116629312646713,-0.14681604532005538,-0.08553692103014243,0.09680584827010341,0.051491628138665396,0.0,-0.07005851390270199,-0.24578201557536092,-0.38044455754599216,-0.45527358236104903,-0.09359860942423445,-0.24579740614767975,-0.34923575647917643,0.5329642624134155,-0.4835018718305704,-0.21359559271381787,-0.08311483771940748,-0.08544822908781136,-0.35310293136884796,-0.43161490698391847,-0.19692982914997256,0.0,-0.08207325790001013,0.0020570107878776223,-0.2227506630319122,-0.6169529992108832,-0.2547551742645995,0.22705638422789973,-0.17656764819158774,-0.053043291979068125,-0.19470995228859617,-0.24994682544175523,-0.1340986243015765,-0.1296159314830353,-0.42177693337710614,-0.4085764733554812,-0.201745015301267,-0.225795518548493,-0.30796160141727785,0.06809768158119836,-0.24461022975592844,0.0,0.28933284185399283,-0.7595091542267987,-0.26703382912714946,-0.4461673425137657,-0.6442179412052997,0.0,0.13799056370319893,0.042973830653067646,-0.3339910264984457,-0.34214413197217797,-0.23656190714799005,0.09304333009840571,0.5893378827697277,-0.15995088842205046
VET,-0.0872564688172995,0.07616721208912647,0.0,-0.2158254951228131,0.09135848444936288,0.0005880067768825187,0.0,-0.1318836631153283,0.10221455580957779,-0.21254009785793865,0.0029516443744977416,0.3891904894782544,0.12278162389510311,-0.17673815382397448,0.10947761839688322,0.17179188163743836,-0.25795874982844164,0.055026673773363094,-0.03973161974449607,0.1947262189151025,0.20096741045378985,0.0,0.14881204668556877,-0.019297689826402203,-0.00578153787562577,-0.24152152719835202,0.17393656371603872,-0.01905765534203746,-0.017647573073812983,0.4649382911647408,-0.14455248064651108,-0.1178705505392463,0.06039556485179179,0.13447958098330734,-0.051268857851663865,-0.2011339111558464,-0.026877102571867068,0.0,0.05230562419089016,-0.03202269970227695,-0.010571202898494864,-0.2001802471118613,0.14180674942929983,0.139019708437911,0.046334780116871394,0.04093208856174768,-0.18193847602502167,0.07153593188053428,-0.05316954901080159,0.0005537197428605589,-0.19028236013339986,-0.15106773899949424,-0.1949000650077233,-0.05955636418797708,-0.1783215858788997,0.13413658666543626,-0.038213416856968774,0.0,0.00718205047205564,-0.35478145236947256,-0.04812496867417429,-0.42175202085601055,-0.21168169040011417,0.0,0.2828239814274173,0.21255497244621605,-0.11600314076691129,-0.06877231614497303,-0.2516712036091211,0.39571177931696044,0.06374262557378507,0.24694350812653343
NEAR,-0.12909600792249556,0.03887155208979248,0.2158254951228131,0.0,0.0035191683288454123,0.04670929162300814,0.0,-0.0018352053833552637,-0.0399852948999079,-0.2497506671598046,0.15616331809248973,0.3310959216373855,0.340078115630052,0.0043330898024556835,0.13673235085234942,0.1789429827131816,-0.3660859154666507,0.07154361188281191,0.19955489442192417,0.1595732143064221,0.31500474722355354,0.0,0.24782011394532089,0.09690971175758992,-0.021588828898600004,-0.23454938148068427,0.0700077756679421,0.1501594794025498,-0.0015408915553220583,0.6823800786987004,-0.12292978805101187,-0.17877752841052513,0.32517388374579725,0.15084697533907576,-0.5002439100423601,-0.18138352730745255,-0.06670654084081026,0.0,-0.11953212769229882,0.258616617040481,0.07622599510194168,-0.1330509906294886,0.016152349726814397,0.29147577523414675,-0.23638855277356927,0.33724983831450234,-0.18420049417012688,0.0017084564209293995,-0.044345798144746415,0.03569216109420709,-0.2508622704137806,-0.16407610377535886,0.09539122021438282,0.15727914895194012,-0.02691000717720146,0.3180015836233581,-0.052537212732991403,0.0,0.20929909409164066,-0.3114439021157609,-0.098881768389806,-0.40892227419349025,-0.2504638399064413,0.0,-0.13086096819687376,0.29338168993179675,-0.04946462356575061,-0.1542368690184043,-0.2003985573862592,0.5059646839994856,0.1898077875035812,0.2717174408445616
ETH,-0.20678705015388663,0.3832867031869611,-0.09135848444936288,-0.0035191683288454123,0.0,-0.2561478794443597,0.0,-0.3067138111513614,0.4296750942879728,-0.3592908017803422,0.020436900445063425,0.19604870902664875,-0.05607816247542097,0.027707286002196452,-0.03756214222476496,0.20224607236147635,0.007934833712698111,-0.07523206019851003,0.04346561750135827,0.12344397144981674,0.18881752424996046,0.0,-0.018271851328318774,-0.06615001841124858,-0.12979452572125721,-0.17412454975225447,-0.15359339247495266,-0.092397412968872,-0.013737099284542031,0.18787978694344976,-0.22247678070747784,0.003685102612275004,-0.09843640924743832,0.06654936548818521,-0.26521713398948477,-0.05852242516342909,-0.13535072327043582,0.0,-0.16236504807019803,-0.03154945567668066,-0.2694518365348539,-0.27981126636076875,-0.06357678304242176,-0.002390695090765005,-0.1673638612253479,-0.07254096792330339,-0.11524177358185292,-0.11003095810820027,-0.12919144548459863,-0.011969718934523282,-0.3226115750863766,-0.39273905514758517,-0.13428185330950368,-0.11153997524984413,-0.1554775535069357,0.06856969203566021,-0.32241571040696715,0.0,0.1322919514483739,-0.29937824531471924,-0.17013582553091863,-0.3562937508434946,0.019785535521281837,0.0,0.22372111781780632,-0.06730620638128645,-0.22377169710252165,0.009970898365993186,-0.3082649590957527,0.1915484146903532,-0.2659874270228969,-0.011120742971401504
EOS,0.22613300119583904,0.30246503249973555,-0.0005880067768825187,-0.04670929162300814,0.2561478794443597,0.0,0.0,-0.0020630800700447167,0.38009144944329915,-0.2278759344409531,0.5657726171366743,0.20279857092821993,0.5499128648510898,-0.08845966998457232,0.18246303849829723,0.002967711217953223,-0.48343442258205355,0.14856030829094208,-0.023070125721360822,0.38765474530307165,0.8480006571948957,0.0,0.395999704358097,0.08928063899270436,0.26276751423940503,-0.2524688969589519,0.14399902783437207,0.039189360955084046,0.28515205633522955,0.42706208660289935,-0.24802908747390537,-0.06277212901302272,0.4067362211025988,0.6254122839206163,-0.013852305331186615,0.00636732474827198,0.4803020889025809,0.0,0.20962991601334258,0.39563278214023945,0.1692545947991728,-0.012004581489243188,-0.057414816115982384,0.22254164219564695,0.07622681521237903,0.2109575059531369,-0.10857484059353459,-2.9761534624222173e-05,0.17624385730718595,-0.022278170781393866,-0.07079933548639465,-0.10536082465031399,-0.10738778136044547,0.27456676008038616,-0.06837511657842418,0.10322181910617674,0.02945209266706636,0.0,0.18866360900425483,-0.18430253250168982,-0.0092558784118741,-0.49135803435146497,-0.1812185963032509,0.0,0.3970614983247676,0.42682821786590924,0.1305232821925913,0.12015803392382444,-0.06673338245435091,0.7860453514278858,-0.11109498901954545,0.38640341165639436
BAKE,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRT,0.2522048421498751,0.24100582285516525,0.1318836631153283,0.0018352053833552637,0.3067138111513614,0.0020630800700447167,-0.0,0.0,-0.13940549934569563,0.022663221223646765,0.1541569931254535,0.11316278899956561,0.3006423587224979,-0.2548058587066552,0.43865698137772585,-0.026170853127814003,-0.03795001433861747,0.03703371910740243,-0.08385067827911555,0.06578475395219259,0.3973802652091863,0.0,0.06144132377253139,-0.019245851861865476,-0.0939265336993898,-0.22519787528186067,0.15047853390404653,0.19629517386108666,-0.04624357426100324,0.3544523317160338,-0.1449189754822765,-0.19678120808045016,0.14774806106600183,0.16239947000452193,0.024228820416476365,-0.19397082401363253,0.1790757777009949,0.0,0.20168112829155543,0.25321733564623466,0.26617474546379544,0.21421856693987662,0.010259213855103963,0.1026149087353572,0.09022642587467952,0.07513411334423628,-0.2551827343499137,0.18180852429580735,-0.03609656853367217,-0.0839040972152372,0.1667498486472886,-0.18703067998731168,0.16643382883817925,0.2712999336434538,0.03884773881176362,0.08447742589508887,0.10021579002864234,0.0,-0.23151670190614307,-0.3422374307955371,0.22964038653142244,-0.42780274723379696,0.2892699122811767,0.0,-0.006109620718765682,0.18882324026295824,-0.16744261210113331,-0.21536791307454733,0.039629923256605054,0.5203013678790309,-0.28407007967431924,0.39370917589185683
REEF,0.18978482399858135,-0.21755698825569314,-0.10221455580957779,0.0399852948999079,-0.4296750942879728,-0.38009144944329915,-0.0,0.13940549934569563,0.0,-0.6631490627528102,0.31465231597032395,-0.23888270662675393,-0.29461987298489434,-0.43830793457298645,-0.23550437443422326,-0.307200405657641,-0.30772459284141335,-0.19220346629714766,-0.1317699687820649,-0.22828418826048213,-0.04986021894564793,0.0,-0.46089175674726524,-0.23293308536646037,-0.2601564075680869,-0.5510233347087443,-0.4677386164548649,0.03611093030512623,-0.35718790605311246,0.1751176971573633,-0.2084502869685036,-0.3246819619368571,-0.13644777626827545,-0.3008346584480477,-0.27635088915442074,-0.4009638645289074,-0.3366785028637409,0.0,-0.11832297634872607,-0.03752595602106845,-0.38972567246531314,-0.45622394825303214,-0.1310203221835225,-0.12573216765584277,-0.34802375422688697,-0.2515950150676357,-0.44664629081225127,-0.08387550783330103,-0.18921575336484464,-0.1604142307232016,-0.2759921593242284,-0.5518117960510857,-0.3222588306796663,-0.1081639536624491,0.1025324739742056,-0.20959295362270292,-0.11432507161959674,0.0,0.12366155900872429,-0.20049199247627408,-0.3904492646314702,-0.18261123910208396,-0.5075155135366551,0.0,-0.21747414093936424,-0.3834674378923517,-0.2931444070982544,-0.37424764464037846,-0.14091563327231746,0.08440293238592741,0.3741751826351726,-0.06495893399683322
INJ,0.001665469271940473,0.5925245217899945,0.21254009785793865,0.2497506671598046,0.3592908017803422,0.2278759344409531,-0.0,-0.022663221223646765,0.6631490627528102,0.0,0.01158420739468835,0.41453813830545666,0.24258219114393684,0.4299864365141959,0.45642789872764006,0.08591678993097909,0.3368723262879919,0.03723149047188308,0.3121606929720635,0.23387887335143487,0.160671198272532,0.0,0.22155407065358268,0.4000293839584579,0.3540998821447225,0.15758866151260503,0.15308565722019396,0.09018941128035315,0.45780416191997664,0.1743841351121847,0.11617160020393896,0.1754548933134934,0.2834195443340265,0.3740239486227298,0.15011794265284717,0.28290898905480377,0.044096690936034105,0.0,-0.11463080127470737,0.07184332792912851,0.1448217458547244,0.19656184528285303,0.04313501166589788,0.02105696479895086,0.24920179391065156,0.3317079197801093,0.2899452563319843,0.25407169719513606,0.060312117942313226,0.10709805540845646,-0.11941592600990879,-0.06119660640299457,0.14148529956863704,0.13320100331510612,-0.024863927013873688,0.23956203900414436,0.0228245466088223,0.0,0.25515025050945317,-0.0026846104054913944,0.003463810241824322,0.10061238815142748,0.534607099754898,0.0,0.08816102605884435,0.16421421212342413,0.38267585498361134,0.29886585443567487,-0.02471149481058471,0.18832454361414205,-0.4474425829660831,0.4564366384693115
