,ROSE,ANKR,VET,NEAR,ETH,EOS,BAKE,GRT,REEF,INJ,FIL,MATIC,BCH,IOST,CHR,EGLD,HBAR,ZIL,ALGO,DENT,DASH,ALICE,IOTA,LINK,XTZ,LRC,ONE,SXP,KAVA,AXS,ADA,SOL,ONT,ETC,MANA,SNX,ZEC,CFX,YFI,WAVES,LTC,CHZ,XLM,COTI,DOT,OMG,SUSHI,FTM,BNB,UNI,STX,RUNE,THETA,HOT,1INCH,FET,KSM,SLP,CRV,IOTX,BTC,AVAX,ENJ,CAKE,XRP,TRX,ATOM,AAVE,DOGE,NEO,SAND,QTUM
ROSE,0.0,0.13662121989741777,0.4381291389976159,-0.25570112349607543,0.04144947301229705,0.028377091104143833,0.0,0.12087193282630257,-0.2145590967310536,-0.22523842690986182,-0.40201378372289115,0.17119633833693793,0.28494892200982697,0.3808530478055106,-0.0671704248140316,0.488082913178034,-0.04070163654351089,0.11584378755887001,0.25386505572041373,0.003322376231435095,-0.1695409456235952,0.10770980029611066,0.35116098189156203,0.22939847284086204,0.30924566412179505,0.10623137771485931,-0.2969197191133892,-0.03629776848481972,0.054411456985203346,0.19451038290064238,0.1671252903574856,-0.038131624053488106,0.3222420618539861,0.20690107474782446,0.2354668434425589,0.22994234006706937,0.20966282280745444,-0.1722143751815504,0.1280935222990633,0.19888512843908907,0.21031102017105852,-0.14171034021941978,0.3377905634865551,0.31791381182812806,-0.1710665903231396,-0.09900467804352227,0.2953304969586256,0.27449634334217854,0.10658830688202633,-0.1635488812159744,0.31413111568034313,-0.09938712993152166,-0.3922140315954377,0.08854872148520417,0.0993413599626383,0.2072761304426048,-0.3324732959523341,0.0,0.2243261002801853,0.11062406828836943,-0.1568684672044478,0.04678799930175821,-0.20948613060555815,-0.042373697416109246,0.2657499065555966,-0.11515476939316524,-0.016770341695548516,-0.04792921229410416,0.13880320572971605,0.42787248684940904,-0.10757786400215973,0.1678890012380611
ANKR,-0.13662121989741777,0.0,0.451174269049744,-0.4239045004787151,-0.09722341397046284,0.07436986939535133,0.0,-0.208373817356077,-0.09326400283522845,-0.31050967568194543,-0.18229665177958504,0.061683664621448975,0.1700047654982215,0.11016468138207841,-0.08095928326464563,0.12712988744097187,-0.0950302331786765,-0.046161943173906345,0.08857403936417027,-0.09955509130110247,-0.14135780244328972,-0.2023903549744504,0.22801801647954562,-0.08873096674810113,0.19177231144159218,-0.04228366638911911,-0.3078190913772038,0.0003268368954407186,-0.21515019672892027,0.04613332687862055,-0.07916648364862451,-0.25729020685107634,0.15966846538353252,0.025285725369379085,0.039686965256665964,-0.13519038319786866,0.04188924035928278,-0.3707763984643429,-0.1710312483259707,0.2496307514223302,0.24542946543886132,-0.2167603311098091,0.17611532266638685,-0.059754004766462226,-4.7765957715842355e-05,-0.17639330092294583,-0.03894224439884529,-0.047813883077885366,-0.28597322672843845,-0.4292056943717001,0.052358803284948595,0.09618215986222302,-0.34736419786151296,-0.0281375289387178,-0.012308183467243508,-0.008692790607875756,-0.3663331199801893,0.0,-0.2730983731375077,-0.16342901683747338,-0.12424361156321359,-0.12279897303446434,-0.2684766047280249,-0.24342550097681354,0.24205816986668538,-0.10943479354069026,-0.22114608258206714,-0.36451054959324675,0.03644811773261697,0.23791815377924924,-0.23641281697359734,-0.11324845707668588
VET,-0.4381291389976159,-0.451174269049744,0.0,-0.4689729211806844,-0.35784427673602187,-0.3726675488964023,0.0,-0.3106594402884208,-0.366861290891248,-0.5076277898923084,-0.28492838232961515,-0.22721323236634533,-0.13653265673452003,-0.08492830017219564,-0.24985895924771773,0.3416192104504072,-0.5127799935942667,-0.31673411856093525,-0.24053667458923994,-0.24767130404639554,-0.38124812481958803,-0.21070399073092777,-0.17829265183368892,-0.20152518879087278,-0.4347983907820013,-0.167080809718643,-0.5022687222763168,-0.3486190506028227,-0.33597934908130633,-0.3128043296417121,-0.33953343627672844,-0.08787400101408553,-0.3327236329084162,-0.2511620836171436,-0.1260182864232536,-0.3947773197990623,-0.21676850005790155,-0.31635055614224417,-0.2981735828048005,-0.3232497305980805,-0.10566023476498318,-0.24202327117967465,-0.3085565889441588,-0.24316668340483397,-0.5474167342757168,-0.4565375362825017,-0.20239991132393975,-0.1367905794888787,-0.18436708981346267,-0.4731750389220022,-0.2924175552623943,-0.5335150850784188,-0.4664635116000287,-0.23262643168831784,-0.10453714500157771,-0.2710858024645426,-0.6377327300129669,0.0,-0.46297588835756237,-0.29231078117806764,-0.503596351836608,-0.30027048373542575,-0.4657212293027334,-0.1759618372525203,-0.2823824228570868,-0.6569516340741587,-0.2902808879131423,-0.4636136146684978,0.03397058075293831,-0.09996808282646538,-0.3603027446502832,-0.23163617839289524
NEAR,0.25570112349607543,0.4239045004787151,0.4689729211806844,0.0,0.06995206263609847,0.24152681199008225,0.0,0.26287847830591676,0.14350773710355633,0.11879184394812496,-0.0008850137809982561,0.41399988232999474,0.31503576198340716,0.5678644758745859,0.10531636892233764,0.40853484929118444,0.40361432279768317,0.5083889532909738,0.4179598511627779,0.012456318183049217,0.15855664442565703,0.12287180020583112,0.42434808186456674,0.29113838944739495,0.362169826390379,0.28296841338170564,0.41447749598643424,0.11821501489560753,0.30610320277624836,-0.21270386247808393,0.3522305840021447,-0.09191322150457165,0.4478235922053318,0.3841011044253132,0.2759440461227102,0.3441410933652579,0.32723241172250733,-0.22824553478933768,0.5196977619900367,0.4744680772558437,0.16993729236429567,0.26748949365415975,0.15137425477873112,0.4785042057529656,0.08585855145324657,0.29598128743035834,0.4226191396067062,0.29441406856697616,0.09407600806511679,-0.009077283158445358,-0.1682361958744389,0.4005975257607616,0.27024079880238444,0.20037393826894262,0.1165576972796478,0.5146037930067016,0.0800469029838121,0.0,0.37982127360177786,0.5659676736493698,0.1890597026497043,0.2966737446506569,0.30448043858463003,-0.05439858416013352,0.11132711137095863,0.09943819705861859,0.23597874643045827,0.12646983891303995,0.055254488863441496,0.5123663130035643,0.296253830781007,0.33261996952699263
ETH,-0.04144947301229705,0.09722341397046284,0.35784427673602187,-0.06995206263609847,0.0,0.02866864148990786,0.0,0.04418733604492642,0.0029258605761348713,-0.00742982276551319,0.04501148014849199,0.23050295099703044,0.3570110398538499,0.12536502605659883,0.1253437822454763,0.46171592082764923,-0.21521390639220564,0.14691776603446133,0.2565741332120377,0.06785310138416055,0.029764331022910942,-0.015331359223871403,0.2532670848250207,0.23568005820026805,0.15208405037972933,0.05099594789967875,-0.16139369936867984,-0.010008078114985112,0.091762004066169,-0.2315965257543696,0.09010066711744405,-0.19920544293550838,0.1379783243499238,0.5089307324375413,0.15955083572885775,0.25474875709703526,0.25372038334547453,-0.43113127741762974,0.2018615890586966,0.2971506566903355,0.2277352102306126,0.15889889347122466,0.007405727511370107,0.3261614787635708,0.011558705024311038,-0.04917692460094935,0.15249510283837542,0.11787237576086769,-0.1654624625277749,-0.22021945224329828,-0.1719850881737778,-0.06240371122962889,0.026481124695743062,0.046292909795740925,0.012319279329611812,0.120278719008842,-0.1243282603728766,0.0,0.23836160057756564,0.2221382584319205,-0.256200888978145,0.07614308116413324,-0.11950065436284214,-0.16465363356933474,-0.041026941607941424,-0.09533694080462216,0.20903699704416123,-0.050164864136411524,0.32477481498318933,0.19428444481148163,-0.08846848534790482,0.13046807678703634
EOS,-0.028377091104143833,-0.07436986939535133,0.3726675488964023,-0.24152681199008225,-0.02866864148990786,0.0,0.0,-0.0009415132032191825,-0.008052161272918551,-0.3185916440597723,-0.16944420671744015,0.12723738034655294,0.3153968930301078,0.2096237971407682,-0.0881957310541649,0.4954381397682732,-0.1947832524119646,0.05950649206658438,0.2273225477939423,-0.005304198486069514,-0.11474369026974404,-0.07513644113598118,0.21244491686113567,0.2508114280402219,0.1614930454985573,0.1490206541396229,-0.26705441236373767,-0.17649573729659856,-0.006256358233756323,0.023995930804796395,0.05143980392074248,-0.2480048243301738,0.14667617105935998,0.2523395600625212,0.15109181479450878,0.06913837213524575,0.15435533909173996,-0.1356696550554794,0.13427331181165528,0.05705558389213207,0.27634227916530907,-0.08470855907912316,0.10377106865005253,0.11427762115131487,-0.15852126786095558,-0.0910482650311083,0.18521564027920764,0.23717860191855328,-0.06066602700596009,-0.2929740388726035,0.12600700676236634,-0.20499221481438673,-0.17670594433272083,0.04871473458734802,0.2045871840521535,0.05629409095338392,-0.2357672252671026,0.0,0.024612238162502395,0.10419246875528321,-0.19969242494560593,0.06805319580239766,-0.24455643384588338,-0.1372341787368959,0.07971113810938277,-0.38079888939088746,0.04642453474890791,-0.13171084247669793,0.18190289864874665,0.2627515451440598,-0.214589655030221,0.10570517964485532
BAKE,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRT,-0.12087193282630257,0.208373817356077,0.3106594402884208,-0.26287847830591676,-0.04418733604492642,0.0009415132032191825,-0.0,0.0,-0.22472049134104433,-0.26696797535834377,-0.43653448370965353,0.20654508259790913,0.2398129512151303,0.2003706461903064,-0.029240152596896968,0.26509085632469526,-0.06790824173173585,0.1052539364520156,0.19682687244585878,-0.018172945904276823,-0.1451300078146495,0.037446419720302146,0.2765918681584117,0.03471319334706138,0.05997363395215395,0.08940925681570669,-0.24106380377633813,-0.13578321604377347,-0.0723807829244019,0.00044516952964826495,0.14228181226593117,-0.1005434571824156,0.16569981208767082,0.3451964512459823,0.2634223518388238,0.10896699982506833,0.12013221674801029,-0.33516127209660973,0.10840172473692218,0.056654514967287246,0.18301128908572614,0.10732022456827912,0.16819696361876876,0.20811199669854924,-0.09394766350790147,-0.14460369814182467,0.22193774080304413,0.12718590972677674,-0.15529176201894365,-0.0858002820199753,-0.01481441020007486,-0.1746496767776767,-0.16862013001720322,0.16197279631683142,0.08461615049485213,0.07493749375978538,-0.3463011889777555,0.0,0.16207425649952617,0.024914413329391705,-0.17104193655113803,-0.08392794654717253,-0.15165461910921116,-0.2923203813185724,0.09486852973872147,0.007991296119004107,-0.15154700688712547,-0.06157166484407603,0.20095185136787183,0.3131208095955219,-0.0291228433585059,0.057076298897616964
REEF,0.2145590967310536,0.09326400283522845,0.366861290891248,-0.14350773710355633,-0.0029258605761348713,0.008052161272918551,-0.0,0.22472049134104433,0.0,-0.26903456097460504,-0.44194679215938987,0.13108447322680972,0.10775476254227773,0.5554077400828555,-0.31303429569016905,0.4619603217642708,0.08652858464282054,0.19919590361215614,0.3811373524638735,0.0024173088715220073,-0.13415290868491747,0.07977757505324184,0.32403774737715607,0.34635168600303673,0.09098196534134885,0.21954163894294404,0.030068143121044656,-0.07015921681551683,0.143649258659717,-0.04924210876435248,0.23822567305263456,0.2715906850371459,0.32110187721626465,0.25461008730880696,0.2899880701549623,0.24515409545363206,0.30032597054301086,-0.18313924417864647,0.4309029686585749,-0.03209965976475754,0.02626496257254718,-0.3547128711074068,0.26356743159579255,0.3950138196673067,-0.13583874526948583,-0.08027916566560994,0.2876713130967307,0.29424920756537704,0.09731660759588363,-0.2148688219583012,0.04294232088108965,0.13501298820834703,-0.27323488193072953,0.12674224684509344,0.060606690984487524,0.3720982881243406,-0.06139636828016275,0.0,0.3116928856810106,0.12709354442576315,-0.10192299746270492,0.05630940307493644,0.011549612141867352,-0.09938347719842144,0.16316226805672723,0.0014473424086165615,0.2111436457261136,0.09010713988097803,-0.11761390484747253,0.6957272473115361,-0.14565131514945776,0.27472463167259986
INJ,0.22523842690986182,0.31050967568194543,0.5076277898923084,-0.11879184394812496,0.00742982276551319,0.3185916440597723,-0.0,0.26696797535834377,0.26903456097460504,0.0,0.08241248257433101,0.500514235092103,0.32545344015097283,0.3849463937750549,0.3743873622307561,0.3120914712607741,0.32736266662067187,0.4333587691764032,0.4348838983593236,0.05862424716079972,0.1852978860547256,0.014840172538809981,0.4333177421807003,0.04901660643276032,0.5089808746513421,0.2542022539658603,0.4260358878666951,0.33295007820569134,0.27424865744533866,-0.16783218353519838,0.20512806222403948,-0.5184670749897692,0.35915782276119496,0.30805937629409913,0.057932520114976016,0.26964446021262944,0.1960432975918322,-0.33036852921752147,0.1609763218931692,0.763437293808741,0.4136624015871363,0.1828679562550487,0.3352322684264749,0.3551460077892612,0.17601566481055342,0.2976749751349489,0.3663607349275658,0.17442497971303897,-0.11062704870508056,-0.2942172732072469,-0.05266723443318372,0.2034185780099133,0.09176472769157691,0.172318395731166,0.15943783080623966,0.48380967230977945,-0.04902656026312294,0.0,0.2691878504613635,0.47409116424681086,0.273549137005427,0.3071598282760026,0.22854991011506753,-0.09247249195140596,0.32178694512415007,0.11721423205204988,0.014662612291765187,-0.05370151254531698,-0.08530484787204734,0.17153199403870545,0.2813159246568976,0.05283884664058579
