,ROSE,ANKR,VET,NEAR,ETH,EOS,BAKE,GRT,REEF,INJ,FIL,MATIC,BCH,IOST,CHR,EGLD,HBAR,ZIL,ALGO,DENT,DASH,ALICE,IOTA,LINK,XTZ,LRC,ONE,SXP,KAVA,AXS,ADA,SOL,ONT,ETC,MANA,SNX,ZEC,CFX,YFI,WAVES,LTC,CHZ,XLM,COTI,DOT,OMG,SUSHI,FTM,BNB,UNI,STX,RUNE,THETA,HOT,1INCH,FET,KSM,SLP,CRV,IOTX,BTC,AVAX,ENJ,CAKE,XRP,TRX,ATOM,AAVE,DOGE,NEO,SAND,QTUM
ROSE,0.0,0.3505153683804011,0.36533355185668154,0.23011730317677503,-0.04573201736245866,0.2913166613913153,0.11861204609452222,-0.0709793197840891,0.17877276735225603,0.2789674478195019,0.22744532831317193,0.05630859552755564,0.33228368524062357,0.3595391357099481,-0.25177916872534123,0.09301637075434396,0.09474384469734282,0.26557369246590634,0.27253656506997026,0.3510848660128864,0.32186090527640887,-0.3592220270430396,0.22524164732960417,0.09493128192705823,0.05703105231171147,0.1715609387374309,0.2357321311494677,0.18403104967386694,0.16666804589908985,0.12068733448564259,0.2178413080784059,0.15437977500331357,0.5001150037716294,0.02896227825669561,0.23786582789822466,0.28515976360354833,0.4879055068478386,0.34148431030591675,-0.009518971337113883,-0.03527087245125127,0.2582693528153081,-0.02447254419310957,0.34209108300365165,-0.026318273159829667,0.28334770178724866,0.1407937709741152,0.2962556365055191,0.0403134962874972,-0.09225567596878981,0.3413698324955839,0.08286612915514986,0.09333158456472013,0.07275393241568714,0.3896379277624211,0.24113036285105782,-0.03549895126493731,0.18424613645574686,-0.22727976241666753,-0.2808228360513056,0.633144668895509,0.16094784529090989,0.17247992336600457,0.25917205460805187,0.3614947394316422,0.05010782315301267,0.0932206034575388,0.34335171571669665,0.010762992285328878,0.21801753944649002,0.34294055010844315,0.1473515940280711,0.3780590996263968
ANKR,-0.3505153683804011,0.0,0.11301420337857973,-0.25326329161526095,-0.3479366193125866,0.020274953148619046,0.16461104395012877,-0.5123633715874483,-0.13493088192406472,0.002445725686364541,-0.00019546376267315368,-0.30473607178515716,0.3008213128442158,-0.06430440771056067,-0.054445510549965506,-0.2514676742786104,-0.34246219796311145,-0.11877144733092707,-0.07605603692242457,0.03738722580130185,0.21012177315065791,-0.02357579629023855,-0.32892977971485615,-0.2740755780630809,-0.4181859615020992,-0.1351845486721235,-0.19946628136408615,-0.0959126339229464,-0.033273161036043414,0.011317501748908238,0.0805948392700223,-0.12586834606667163,0.23192046234595864,-0.4588529296754035,-0.0551143033485313,-0.3620952073260427,0.09520036145539437,0.39733609065161873,-0.3170667460031905,-0.28488833681267994,0.21206689178315546,-0.1592233977941178,0.05651417659242536,-0.11404252122654294,-0.12065587573646566,-0.09835810871131492,-0.16876433706245003,-0.3064214347840274,-0.3098833966314939,-0.17947891816658784,-0.3373140655599085,-0.23214212595857844,-0.11748557417104835,0.1283968071517529,-0.4011774140250051,-0.3106183162541349,-0.1826704200657283,-0.30301267372323765,-0.61673834825976,0.3069650358686521,0.16115519718334906,-0.07433642860881565,-0.007742908931973373,-0.1038349158247974,-0.00957692157177814,0.38850517294744247,-0.06476410232725395,-0.47344376550659206,0.027781043724558356,-0.040959021290005726,-0.0441049939329429,0.15932093298611805
VET,-0.36533355185668154,-0.11301420337857973,0.0,-0.2821000478806843,-0.4064418391201816,-0.11489863699111413,0.13215652038067427,-0.5940885769615141,-0.20663556390915883,-0.02024055813498609,-0.0028520154464279253,-0.3671288349992922,0.22024379028688862,-0.16823664308914874,-0.176913262823254,-0.3679459855070579,-0.45434252341213366,-0.18977643630250113,-0.12477008351182375,-0.14299386631217353,0.09298530613107328,-0.2715771521963888,-0.3479309803535027,-0.3075441975592396,-0.44947382809939096,-0.2494332211386586,-0.2855513257365839,-0.2203900349074437,-0.16189428737420417,-0.16647772790301643,0.04436980793174017,-0.16501545541044732,0.1420060650308521,-0.5756301651236341,-0.14685022862637614,-0.3487809422278546,0.15765814735006564,0.24699443572334673,-0.356748714925001,-0.16581664618544167,0.08216405260563162,-0.25120256854974277,-0.0437524334355293,-0.18238463274354133,-0.16279486466368495,0.035592593434768796,-0.23418569520711707,-0.32345919651124266,-0.2518415423095879,-0.1795186702642393,-0.37465115578773284,-0.3208576360427833,-0.2147106386579638,-0.05507824063905266,-0.3816394298381749,-0.4075515835142798,-0.1948638669783106,-0.48477626815148933,-0.47570017757585026,0.24690311415335742,0.15555521988238627,-0.12221200360892968,-0.08928553769780205,-0.14778149157677145,0.0381738149011627,0.3057749682111681,-0.11666338573153731,-0.45124029397905885,-0.06908555608330785,-0.15588254446650984,-0.18678715850915853,0.039598185092680295
NEAR,-0.23011730317677503,0.25326329161526095,0.2821000478806843,0.0,-0.10736991425503475,0.22884322298328005,0.3408395929823701,-0.2504544873849649,0.049571620865873314,0.2331754536662249,0.25199116695055845,-0.09253070163979256,0.46621805947027484,0.1575523073182393,-0.09820403681092177,0.058840853984917736,-0.14665668143365745,0.12934056501538913,0.10903833946914168,0.25464994552578735,0.3573095607708188,-0.12450821947105987,-0.07288205463755863,0.07569861029290996,-0.26579560997620894,0.11135552405067828,0.015336352167807682,0.11105383741328007,0.17598782989097583,0.18895059726160632,0.22914013142716366,0.20305434855622856,0.4660014233596481,-0.20332976340048242,0.11477358040799993,-0.0400850577386513,0.2833864701154156,0.5249573235648193,-0.2263250878303265,0.011132683404720678,0.1987534734012047,0.04490956287787004,0.18557475382784347,-0.014135106171280576,0.1938276572919721,0.1514717368497867,0.1598640331865004,-0.10606328138041715,-0.11284977399505468,-0.04368449099389059,0.018790422196113793,-0.055279744670194406,0.10570895191861053,0.3709799538109492,-0.1359919093446262,-0.21766246287427427,0.044724564799842145,-0.1370663194518658,-0.4045963826632194,0.5183767152352217,0.2197343567900329,0.011264022569294596,0.280248234113239,0.13981442907431108,0.1374126131531196,0.43395520556443934,0.21806698605911148,-0.25060675783033826,0.22830149421229395,0.1994394818349537,0.08302775354485012,0.33954141899722146
ETH,0.04573201736245866,0.3479366193125866,0.4064418391201816,0.10736991425503475,0.0,0.39727486022633274,-0.26471077233769014,-0.1623862104590314,0.14098886188418933,0.15529893257428576,0.14887983041205077,0.20795375426645973,0.47789718706330275,0.32095716609705477,-0.025456468961406093,0.09582342859840023,0.03884436491549406,0.2108956976589833,0.195856866757474,0.34418595122325435,0.3284678194566061,-0.0688727026366818,0.1471389893516295,0.03354515640720787,-0.00596523584720976,0.05496206011576001,0.20835141119540945,0.18950822510477172,0.32088889305079527,0.1775597845212868,0.2990944446914574,0.06185514928807467,0.4173094329129804,-0.08329759138269081,0.262216002152579,0.12790348412767535,0.2966106937882547,0.5382072500752633,0.07487111854815286,-0.08507825686362017,0.35856631291324026,0.11066958386193415,0.36077467422713166,-0.016438136759990674,0.31404747159286434,0.19590972669240048,0.17242960161207202,0.04661284646154294,-0.2645773697574637,0.0032872255441977333,-0.07389051273815134,0.08539531121678082,0.18714657687524305,0.420534332599891,0.11754536054454824,-0.08874641607559776,0.09081134298582239,-0.029574358862692815,-0.07718437938877233,0.5846635715341736,0.2801791460294528,0.13863101642550613,0.3520938197143467,0.15217040672994628,0.21597007429116002,0.3266814724214346,0.4207996624521529,-0.2007792210219724,0.20933464442666563,0.22059787417440127,0.22562803139938986,0.4069153687757309
EOS,-0.2913166613913153,-0.020274953148619046,0.11489863699111413,-0.22884322298328005,-0.39727486022633274,0.0,0.11082310887781127,-0.5658284524047704,-0.07765931691530197,-0.07978144758969818,0.00037314639277055,-0.2579854307237649,0.3025141786449616,-0.08444285652979316,-0.26806975700861635,-0.2289251028160833,-0.29538247220496566,-0.13535647699727507,-0.11710838220544635,0.05249184259831291,0.13045629025742828,-0.2522686083334019,-0.22437014834166613,-0.25397470295590363,-0.3822085936723048,-0.12790400253844855,-0.13381065882361498,-0.11345617817752231,-0.11565144606377906,-0.10432792647330735,0.08593704764643542,-0.10029509588974438,0.216001233916101,-0.4625902886204384,-0.09170531885994121,-0.2667850626039535,0.22100209279008348,0.30675802139436037,-0.20398707075808867,-0.1400107760975311,0.15330135687880167,-0.2194028417224681,0.0645805725381173,-0.19483773900859336,0.006670217440578094,0.0001983098292533958,-0.09023783821108626,-0.27345891554952817,-0.17428800854999704,-0.08634342651592511,-0.16195443358280448,-0.23351345883141586,-0.1628244747601992,0.11442589899426236,-0.3148551648605812,-0.49244237045777633,-0.10317756322719,-0.31766756386494377,-0.31374713306199703,0.4289252279653692,0.16210002972935897,-0.07976213596853651,-0.004795492432671425,0.05902048946985891,0.12474981503629254,0.24321390137854035,0.0018988409748703881,-0.3236148752963793,0.011623862912502558,-0.06565467247069098,-0.16274640248935407,0.10290809054625086
BAKE,-0.11861204609452222,-0.16461104395012877,-0.13215652038067427,-0.3408395929823701,0.26471077233769014,-0.11082310887781127,0.0,-0.3873360975140312,-0.18351120743770516,-0.17110689145421837,-0.10365563655328738,0.04272956027596335,0.23295223835435097,0.20625692090057726,-0.2504511521804084,-0.06247555234648786,-0.1784758937346182,0.08672220814049855,-0.263905793989424,-0.02275898582746036,0.04405626885832534,-0.3137518269500137,0.009575605949137943,-0.16932089633173694,-0.05832457444805415,-0.06563673641608662,-0.0992450828050868,-0.11325581981065236,0.027018951069983192,-0.010965709086512544,0.1358280580082573,0.044239529654189994,-0.03885804661692238,-0.1920891510228908,-0.0817599722124293,0.007050262089486017,0.00874557813480984,0.06844556924608523,-0.12383565219184281,-0.042357632744265225,0.2751403842205236,-0.18893685926852513,-0.16503878249973408,-0.28862781527418646,0.15730733939175034,0.17349349664771382,0.015346998310910548,-0.0754352876210536,0.05394094922696556,0.23168899256761522,-0.19837309402377667,-0.15757007703542797,-0.10958025220684478,0.03263692708775747,0.3199792479937378,-0.5094430161529158,-0.10652200609373519,-0.09091707570113668,0.007912677277445351,-0.05819471714364116,0.30733204396357144,-0.49687820599299104,-0.07388183003421954,0.15925852880328087,-0.00838069136057601,0.07905566451781203,0.041255128412371375,-0.31214814378793027,0.01378895755462559,-0.09518758883347704,-0.1200481343972577,0.10430772160509424
GRT,0.0709793197840891,0.5123633715874483,0.5940885769615141,0.2504544873849649,0.1623862104590314,0.5658284524047704,0.3873360975140312,0.0,0.37542241431575185,0.2918425944630027,0.48829851900077054,0.22038995947461035,0.7149219137828063,0.47101766827210045,0.23291274201370987,0.2726784729711891,0.10964137736949423,0.40170038586943446,0.397262093791369,0.5034493250333368,0.6039996952565654,0.057331219979867655,0.22245870475657142,0.25441107204109126,0.002307377964454179,0.33980944660876705,0.3064491899932591,0.43551733750627686,0.4811155854048367,0.40810342441292347,0.5062196926515786,0.40568995571679717,0.7257268133134052,0.14179478309699406,0.4288139924735019,0.21642195772902995,0.5275267183371086,0.7911299541319855,0.13202826371918344,-0.09683273926917187,0.6363566587085416,0.29511861781624815,0.5639199445218853,0.20659446982846846,0.3833459030385866,0.12432256944796766,0.410137553671767,0.09718829052916483,0.0049776979695742365,0.2930278631961575,0.10522484123921394,0.2964935051120548,0.3747506937547094,0.6136138446750583,0.03865325365639999,-0.008617741331131305,0.27119953856164375,0.042055512495664645,-0.2413474553226083,0.7292597091554055,0.4827522691471816,0.36422520312242845,0.45722803195857453,0.38218126103426364,0.3441523090640884,0.5464740423195752,0.4520691848753036,-0.14546644325682787,0.5229198741841659,0.4793510640813514,0.4164880271627408,0.6524287081191011
REEF,-0.17877276735225603,0.13493088192406472,0.20663556390915883,-0.049571620865873314,-0.14098886188418933,0.07765931691530197,0.18351120743770516,-0.37542241431575185,0.0,0.06702473354155808,0.13445258784786984,-0.13980523258503175,0.44079685423702286,0.03584085882996877,-0.23825081914076304,-0.055312886169565256,-0.19647124294881177,0.06146848728834959,0.038865992210110514,0.20458375423022077,0.24470538324928962,-0.34410275079062225,-0.04020675962932371,-0.07549262629051015,-0.20896975131236953,0.007226001911149166,-0.04302060322246026,0.005722909067598425,0.024611001534462766,0.02090370972017011,0.1599708761720488,0.09089109504896972,0.3542926927390661,-0.25911172402490906,0.03457398192867096,-0.022361698403338702,0.35059829500965867,0.2776472584310529,-0.14264099253482262,-0.0661185876306852,0.161011465425571,-0.08212217651223343,0.13890560970607674,-0.14737581720685192,0.12076313474362549,0.0661623396586663,0.0956030196253746,-0.20012671042393024,-0.010813267789884323,0.062254548938087795,0.042211500538968764,-0.10229953350667297,-0.030136084109294983,0.27123131278387647,-0.11910089953447847,-0.3651768353641016,-0.013959286201445494,-0.2312509555052888,-0.21790685676662327,0.5544284263156025,0.2696539787016237,0.023212648841750033,0.10325490061258392,0.2541156131923666,0.1707236094811733,0.23666817134379875,0.16685296269225072,-0.1751908845959486,0.0966630171447656,0.07774972166504666,-0.04194415632828384,0.2306294362420698
INJ,-0.2789674478195019,-0.002445725686364541,0.02024055813498609,-0.2331754536662249,-0.15529893257428576,0.07978144758969818,0.17110689145421837,-0.2918425944630027,-0.06702473354155808,0.0,0.13912654539397296,-0.2622304534295801,0.2589539182362885,0.09745323584929896,-0.039298130277675536,-0.2005240344493808,-0.2339687328464477,-0.0483671991645411,-0.0572481415738762,-0.03676898111448269,0.1853402519847926,-0.07631073243128952,-0.2064157287431071,-0.1357630502787979,-0.3444269399979506,-0.09729946693903999,-0.17359293224867334,-0.10577605508935492,0.02340911778388905,-0.008664594462304082,0.16528899804913988,-0.032381535749236495,0.1987510055688325,-0.15028570821516873,-0.07460158941432964,-0.2562273577148127,0.04740265336571145,0.2294635381774781,-0.304067653307317,-0.19502826010707158,0.29582692807256117,-0.13539122043066407,0.11624469317164002,-0.07433146314474709,-0.08861636317599546,-0.09570250991025085,-0.025416574897078596,-0.3083381196671727,-0.1782564476251301,0.1704251723259652,-0.19651969934740773,-0.16028592100645506,-0.10186986456382247,0.05126933403308031,0.03807762977799306,-0.16707713084219647,-0.15947758728321626,-0.33561174210627903,-0.7181380277405505,0.2038012233828978,0.20382870772060588,-0.18780710292182567,-0.11164483747999233,0.005397146599404039,-0.15264718619889606,0.37350457990710506,-0.09929917741584361,-0.2707990242839264,0.06892865393047684,0.06258477416357858,-0.05490343592751,0.11535701215612242
